QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151015_000550	Revolusi terjadi 400 tahun lalu dan kami tidak punya cukup pekerja karena Medzio Diena.{nl}Kota ini juga..Aku tahu sejarah itu sangat berarti, tapi aku tidak yakin kita dapat melindunginya.{nl}
QUEST_UNUSED_20151015_000551	Entah kenapa sepertinya transaksi yang datang dan berlalu di belakang kerajaan.{nl} Jika bukan seperti itu, untuk apa mereka menjaga tumpukan batu seperti ini?{nl}
QUEST_UNUSED_20151015_000552	Kallis Knight sepertinya sedang penasaran karena berfokus pada sesuatu disana.{nl} Mereka berkata jika kita menyelidiki Earth Castile, maka mereka akan berpura-pura tidak melihat walaupun kita berkeliling semau hati.{nl}
QUEST_UNUSED_20151015_000553	Ah, Tentunya aku akan pergi mencari harta karun Ruklys.{nl} Pastinya adalah sesuatu yang luar biasa karena diturunkan oleh Goddess.{nl}
QUEST_UNUSED_20151015_000554	Bagaimanapun akan melakukannya bersama denganku kan?{nl}Pertama-tama kumpulkan benda-benda catatan dari jaman Ruklys yang ada di meeting point.{nl} Jika ingin menembus Gargoyle yang berjaga di sana, membutuhkan itu loh.
QUEST_UNUSED_20151015_000555	Bokor Yuta
QUEST_UNUSED_20151015_000556	Saya sedang mencari jejak dari Goddess Zemyna.{nl} Semua orang mengetahui cerita akan hilangnya jejak Goddess kan.{nl}
QUEST_UNUSED_20151015_000557	Aku datang sampai kesini karena mendengar rumor tentang lembaga religius Tree of Truth yang diberkati Goddess.. {nl}Tetapi hanya dipenuhi oleh orang yang sudah mati rupanya.{nl}
QUEST_UNUSED_20151015_000558	Jika anda bermaksud untuk terus berada di Graveyard ini, maukah anda sedikit membantu saya?{nl} Mereka yang sudah mati ini, sulit untuk diatasi hanya dengan kekuatan saja, dan menyerang dengan membabi buta hanya dengan mendengar suara saja.{nl}
QUEST_UNUSED_20151015_000559	Aku bermaksud untuk memanjatkan doa untuk mengetahui apakah Goddess berada di sekitar sini.
QUEST_UNUSED_20151015_000560	Sungguh? Terima kasih walau hanya dengan kata-kata.{nl} Sebenarnya sungguh sulit untuk berdoa sendirian loh.{nl}
QUEST_UNUSED_20151015_000561	Kalau begitu mohon bantuannya untuk mengatasi orang mati di peti mati ya.{nl} Aku bermaksud untuk memanjatkan doa untuk Goddess.
QUEST_UNUSED_20151015_000562	Kupikir dapat menemukan jejak keberadaan dari Goddess Zemyna disini, tetapi hanya dipenuhi oleh yang mati saja..{nl}Pertama kalinya aku melihat yang seperti ini. Padahal harus bergegas menemukan Goddess Zemyna.
QUEST_UNUSED_20151015_000563	Ah, sudah kembali rupanya. {nl}Berkat anda, selama aku berdoa para mayat tidak datang menyerang.{nl}
QUEST_UNUSED_20151015_000564	Tetapi doa sepertinya tidak tersampaikan kepada Goddess jika dilakukan di tempat ini.
QUEST_UNUSED_20151015_000565	Druid Leya
QUEST_UNUSED_20151015_000566	Hei. Anda.{nl} Siapakah kamu, mengapa datang ke hutan yang jarang manusia seperti ini?{nl}Ah sudahlah. Tidak ada hubungannya siapapun itu. Bantulah saya sedikit.{nl}
QUEST_UNUSED_20151015_000567	Aku adalah Druid yang tinggal di hutan ini, namaku adalah Leya.{nl} Saya datang sampai kemari karena mengejar para Ferret yang mencuri persediaan makanan dan menyerang desa.{nl} Tetapi aku tidak dapat menemukan persediaan makanan, dan malah diserang oleh para Ferret.{nl}
QUEST_UNUSED_20151015_000568	Sebelum kembali ke desa, sepertinya luka ini harus ditangani dahulu..{nl} Jika naik ke atas sana, terdapat herb yang ampuh untuk menyembuhkan luka. Tolong bawakan herb itu ya.
QUEST_UNUSED_20151015_000569	Ketika mengumpulkan Herb, mungkin saja Para Ferret datang menyerang.{nl} Entah sejak kapan aku sepertinya berpikir bahwa hutan ini telah menjadi milikku sendiri loh.
QUEST_UNUSED_20151015_000570	Villager
QUEST_UNUSED_20151015_000571	Tuan Savior, pernahkah anda meminum air yang berwarna merah?{nl} Jika pernah mungkin anda tidak mungkin berada di tempat ini dan berbicara denganku.{nl} Seberapa haus leher anda, janganlah pernah meminum air berwarna merah itu. Jika meminumnya maka akan merasakan sakit yang luar biasa.{nl} Sampai-sampai buah dari pohon yang tumbuh karena air itu, menjadi tidak dapat dimakan.{nl} Tetapi para Ferret mengumpulkan buah raksasa itu dan membuatnya jadi jus, lalu meminumnya sebagai ganti air.{nl}
QUEST_UNUSED_20151015_000572	Dulu aku pernah tersasar di hutan ini karena kehilangan arah, dan pada saat itu aku sungguh kehausan.{nl} Lalu pada saat itu aku bertemu dengan seekor Ferret yang berkeliling membawa Juice Bucket.{nl} Waktu itu pilihannya adalah mati kehausan, atau mati karena memakan buah, atau mati diserang oleh Ferret.{nl} Maka dari itu aku merebut secara paksa juice yang dibawa oleh Ferret, anehnya tidak terjadi hal apapun padaku.{nl}
QUEST_UNUSED_20151015_000573	Saat ini air yang kami miliki mulai habis, padahal hal ini tak boleh terjadi.{nl}Bisakah anda mengumpulkan Giant Fruit dan Juice dari para Ferret? Mohon bantuannya.
QUEST_UNUSED_20151015_000574	Yang mengejutkan adalah, ketika telah bersiap untuk mati ketika meminum Juice, tetapi ternyata rasanya enak diluar dugaan.
QUEST_UNUSED_20151015_000575	Wah terima kasih. Kalau segini banyak, saya tidak perlu khawatir untuk waktu cukup lumayan.
QUEST_UNUSED_20151015_000576	Druid Benes
QUEST_UNUSED_20151015_000577	Ah.. Tak kusangka bisa bertemu orang di tempat seperti ini..! Tolonglah bantu saya sedikit!{nl} Nama saya adalah Druid benes. Saya sedang mencari alasan mengapa Para Ferret membantu pihak Demon.{nl} Jika memakai ilmu Druid maka dapat berubah bentuk menjadi Ferret. Pastinya dapat berkomunikasi dengan Ferret.{nl}
QUEST_UNUSED_20151015_000578	Masalahnya adalah mereka telah mengingat bauku karena terlalu banyak melakukan kontak dengan mereka pada saat proses transformasi.{nl} Walaupun saya berubah menjadi Ferret, karena mereka tahu bahwa saya adalah manusia maka mereka tidak akan bercerita apapun.{nl} Maukah kau menggantikanku bertransformasi menjadi Ferret dan mencari tahu tujuan mereka?{nl}
QUEST_UNUSED_20151015_000579	Untuk bertransformasi menjadi Ferret, maka harus mengamati perilaku mereka dengan baik.{nl} Jika melakukan perilaku aneh maka akan tertangkap oleh para Ferret.{nl} Karena saya akan memberikan Scroll kosong, tolong tuliskan perilaku mereka setelah mengamatinya.
QUEST_UNUSED_20151015_000580	Aku akan membuatkan Transformation Scroll untuk berubah menjadi Ferret sesuai hasil pengamatan.{nl} Maka dari itu tolong tulislah dengan semaksimal mungkin. Agar ketika berubah tidak terlihat mencurigakan.
QUEST_UNUSED_20151015_000581	Kau telah datang setelah mengamatinya dengan detil ya.{nl} Jika seperti ini sepertinya tidak akan ada masalah.{nl} Tunggu sebentar.
QUEST_UNUSED_20151015_000582	Voodoo Doll[Bokor Advancement]
QUEST_UNUSED_20151015_000583	Mayat mercenary yang terbaring
QUEST_UNUSED_20151015_000584	Bertanya sebaiknya melakukan apa
QUEST_UNUSED_20151015_000585	Menolah dan berkata lakukan semaunya
QUEST_UNUSED_20151015_000586	Lidia Sharper Fletcher's Arrow[Fletcher Advancement]
QUEST_UNUSED_20151015_000587	Berkata akan mencoba mencari Arrow
QUEST_UNUSED_20151015_000588	Berhenti karena tidak bisa fokus
QUEST_UNUSED_20151015_000589	Bertanya bagaimana cara melatih monster
QUEST_UNUSED_20151015_000590	Berkata hal itu tidak masuk akal
QUEST_UNUSED_20151015_000591	Focus All[Schwarze Reiter Advancement]
QUEST_UNUSED_20151015_000592	Berkata bahwa kau percaya diri
QUEST_UNUSED_20151015_000593	Menolak dan berkata tidaklah seperti itu
QUEST_UNUSED_20151015_000594	Berkata akan menyampaikannya
QUEST_UNUSED_20151015_000595	Menolak karena mencurigakan
QUEST_UNUSED_20151015_000596	Berkata akan membawakan Ledger
QUEST_UNUSED_20151015_000597	Berkata akan datang kembali lain waktu
QUEST_UNUSED_20151015_000598	Berkata akan menyelesaikannya
QUEST_UNUSED_20151015_000599	Berkata meminta waktu untuk berpikir
QUEST_UNUSED_20151015_000600	Catatan seseorang
QUEST_UNUSED_20151015_000601	Sedang menyebarkan Black Powder
QUEST_UNUSED_20151015_000602	Melihat bubuk hitam yang terjatuh dari pilar, lalu para monster datang menyergap!
QUEST_UNUSED_20151015_000603	Ketika menyebarkan Black Powder, terlihat sesuatu seperti catatan!
QUEST_UNUSED_20151015_000604	Pilar yang terukirkan akan sesuatu
QUEST_UNUSED_20151015_000605	Sepertinya sinar dari Crystal yang mengeluarkan chaya misterius tidaklah cukup!{nl} Carilah Monster Oil yang dapat membantu crystal mengeluarkan cahaya misteriusnya, dari monster yang ada di sekitar!
QUEST_UNUSED_20151015_000606	Harus mengumpulkan Monster oil untuk dapat membawa tulisan itu!
QUEST_UNUSED_20151015_000607	Sedang memeriksa kembali
QUEST_UNUSED_20151015_000608	Crystal yang memancarkan cahaya misterius, mulai mengeluarkan cahaya sangat terang!
QUEST_UNUSED_20151015_000609	3 buah angka dari pilar rahasia
QUEST_UNUSED_20151015_000610	Sedang mengecek Pillar
QUEST_UNUSED_20151015_000611	Mari coba sebutkan 3 angka yang didapat dari suatu tempat dengan berdiri di dekat pillar!
QUEST_UNUSED_20151015_000612	Sedang membaca tulisan di Pillar
QUEST_UNUSED_20151015_000613	Karakter yang terukir di pillar
QUEST_UNUSED_20151015_000614	Tidak terlihat karena gelap! Dapatkanlah Moss yang bercahaya di sekitar!
QUEST_UNUSED_20151015_000615	Sedang membaca tulisan di Pillar
QUEST_UNUSED_20151015_000616	Telah berhasil membaca tulisan berkat Moss yang bercahaya!
QUEST_UNUSED_20151015_000617	Apakah tulisan di Pillar itu?
QUEST_UNUSED_20151015_000618	Pillar telah runtuh!{nl} Dapatkanlah caira yang lengket untuk memperbaiki pillar ini dari Monster!
QUEST_UNUSED_20151015_000619	Kumpulkanlah Caira yang lengket!
QUEST_UNUSED_20151015_000620	Sedang memperbaiki Pillar
QUEST_UNUSED_20151015_000621	Tulisan sudah mencapai kondisi dapat terbaca!
QUEST_UNUSED_20151015_000622	Mencari potongan Pillar
QUEST_UNUSED_20151015_000623	Sedang menyelipkan potongan
QUEST_UNUSED_20151015_000624	Mengumpulkan Relic(4)
QUEST_UNUSED_20151015_000625	Berkata akan melakukan ekskavasi
QUEST_UNUSED_20151015_000626	Sedang melakukan penggalian relic
QUEST_UNUSED_20151015_000627	Telah menemukan Relic!
QUEST_UNUSED_20151015_000628	berkata akan coba mengumpulkannya.
QUEST_UNUSED_20151015_000629	Berkata tidak ada urusan untuk masuk kembali
QUEST_UNUSED_20151015_000630	Tertulis akan cerita yang berhubungan dengan pasukan Ruklys
QUEST_UNUSED_20151015_000631	Perintah untuk mundur
QUEST_UNUSED_20151015_000632	Perjalanan dimulai (1)
QUEST_UNUSED_20151015_000633	Perjalanan dimulai (2)
QUEST_UNUSED_20151015_000634	Perjalanan dimulai (3)
QUEST_UNUSED_20151015_000635	Berkata meminta diberit tahu
QUEST_UNUSED_20151015_000636	Coba bertanya nanti
QUEST_UNUSED_20151015_000637	Perjalanan dimulai (4)
QUEST_UNUSED_20151015_000638	Orsha (1)
QUEST_UNUSED_20151015_000639	Berkata akan coba pergi
QUEST_UNUSED_20151015_000640	Berkata ada hal yang harus dilakukan
QUEST_UNUSED_20151015_000641	Orsha (2)
QUEST_UNUSED_20151015_000642	Meminta agar menunggu
QUEST_UNUSED_20151015_000643	Orsha (3)
QUEST_UNUSED_20151015_000644	Berkata akan coba menemui
QUEST_UNUSED_20151015_000645	Menyimpan rasa bersyukur
QUEST_UNUSED_20151015_000646	Ingin memberikan
QUEST_UNUSED_20151015_000647	Tersesat di dalam Hutan (1)
QUEST_UNUSED_20151015_000648	Tersesat di dalam Hutan (2)
QUEST_UNUSED_20151015_000649	Berkata akan segera kembali
QUEST_UNUSED_20151015_000650	Menyalakan api
QUEST_UNUSED_20151015_000651	Benda tanpa pemilik
QUEST_UNUSED_20151015_000652	Berkata coba memasukinya
QUEST_UNUSED_20151015_000653	Berkata tidak membutuhkannya segera
QUEST_UNUSED_20151015_000654	Safe Area yang tidak aman
QUEST_UNUSED_20151015_000655	Imigran yang tidak bisa beristirahat
QUEST_UNUSED_20151015_000656	Berkata akan datang jika menunggu
QUEST_UNUSED_20151015_000657	Disappeared Bishop (1)
QUEST_UNUSED_20151015_000658	Disappeared Bishop (2)
QUEST_UNUSED_20151015_000659	Disappeared Bishop (3)
QUEST_UNUSED_20151015_000660	Disappeared Bishop (5)
QUEST_UNUSED_20151015_000661	Menemukan Jejak yang terhapus
QUEST_UNUSED_20151015_000662	Jejak terbakar(1)
QUEST_UNUSED_20151015_000663	Jejak terbakar(2)
QUEST_UNUSED_20151015_000664	Menemukan Jejak yang terhapus(5)
QUEST_UNUSED_20151015_000665	Menemukan Jejak yang terhapus(6)
QUEST_UNUSED_20151015_000666	Spy's Over Work
QUEST_UNUSED_20151015_000667	Removing Smell
QUEST_UNUSED_20151015_000668	Berbalik Arah
QUEST_UNUSED_20151015_000669	Monster Habitat(1)
QUEST_UNUSED_20151015_000670	Monster Habitat(2)
QUEST_UNUSED_20151015_000671	Big Scale Exploration(1)
QUEST_UNUSED_20151015_000672	Big Scale Exploration(2)
QUEST_UNUSED_20151015_000673	Big Scale Exploration(3)
QUEST_UNUSED_20151015_000674	Big Scale Exploration(4)
QUEST_UNUSED_20151015_000675	Big Scale Exploration(5)
QUEST_UNUSED_20151015_000676	Big Scale Exploration(6)
QUEST_UNUSED_20151015_000677	Supportive Activity
QUEST_UNUSED_20151015_000678	Suspicious Place
QUEST_UNUSED_20151015_000679	Penyelidikan awal(1)
QUEST_UNUSED_20151015_000680	Penyelidikan awal(2)
QUEST_UNUSED_20151015_000681	Poluted Monster
QUEST_UNUSED_20151015_000682	Nyawa yang berharga dibandingkan uang
QUEST_UNUSED_20151015_000683	Collecting Seed Capital
QUEST_UNUSED_20151015_000684	Dangerous Clue(1)
QUEST_UNUSED_20151015_000685	Dangerous Clue(2)
QUEST_UNUSED_20151015_000686	Dangerous Clue(3)
QUEST_UNUSED_20151015_000687	Urbonas' Trace(1)
QUEST_UNUSED_20151015_000688	Urbonas' Trace(2)
QUEST_UNUSED_20151015_000689	Urbonas' Trace(3)
QUEST_UNUSED_20151015_000690	Urbonas' Trace(4)
QUEST_UNUSED_20151015_000691	Urbonas' Trace(5)
QUEST_UNUSED_20151015_000692	Urbonas' Trace(6)
QUEST_UNUSED_20151015_000693	Urbonas' Trace(7)
QUEST_UNUSED_20151015_000694	Certain Treatment
QUEST_UNUSED_20151015_000695	New Enemy
QUEST_UNUSED_20151015_000696	Demon Package(1)
QUEST_UNUSED_20151015_000697	Demon Package(2)
QUEST_UNUSED_20151015_000698	With Demon Hand(5)
QUEST_UNUSED_20151015_000699	With Demon Hand(6)
QUEST_UNUSED_20151015_000700	Kalau saja kalau(1)
QUEST_UNUSED_20151015_000701	Kalau saja kalau(2)
QUEST_UNUSED_20151015_000702	Mengusir
QUEST_UNUSED_20151015_000703	Mengumpulkan Prisoner
QUEST_UNUSED_20151015_000704	Di tempat yang lebih dalam(1)
QUEST_UNUSED_20151015_000705	Di tempat yang lebih dalam(2)
QUEST_UNUSED_20151015_000706	Di tempat yang lebih dalam(3)
QUEST_UNUSED_20151015_000707	Di tempat yang lebih dalam(4)
QUEST_UNUSED_20151015_000708	Berkata meminta agar menunggu lebih lama
QUEST_UNUSED_20151015_000709	Semuanya ke tempat semula(1)
QUEST_UNUSED_20151015_000710	Semuanya ke tempat semula(2)
QUEST_UNUSED_20151015_000711	Menghilangkan karat
QUEST_UNUSED_20151015_000712	Precious and Important
QUEST_UNUSED_20151015_000713	Change one's way of thinking
QUEST_UNUSED_20151015_000714	Semuanya ke tempat semula(3)
QUEST_UNUSED_20151015_000715	Memberi makan monster tipe Flying
QUEST_UNUSED_20151015_000716	Falconer Master bermaksud untuk bereksperimen apakan dapat menggunakan monster lainnya untuk menggantikan elang. Cobalah beri makan dan latih monster jenis bird tipe flying.
QUEST_UNUSED_20151015_000717	Melapor kepada Falconer master
QUEST_UNUSED_20151015_000718	Telah gagal melatih Monster. Kembalilah kepada Falconer Master.
QUEST_UNUSED_20151015_000719	Pergilah mencari Schwaze Reiter Master yang ada di Forest of Prayer.
QUEST_UNUSED_20151015_000720	Mengenai monster biasa secara berkelanjutan 200 kali
QUEST_UNUSED_20151015_000721	Schwaze Reiter Master berkata akan melihat kemampuan mengenai musuh dengan tepat. Cobalah serang monster biasa sebagai target sebanyak 200 kali secara berurutan.
QUEST_UNUSED_20151015_000722	Telah mengenai seluruh serangan secara berurutan pada musuh tanpa kesalahan. Kembalilah pada Schwaze Reiter Master.
QUEST_UNUSED_20151015_000723	Mengeluarkan benda dengan mencari perantara yang bersembunyi
QUEST_UNUSED_20151015_000724	Monk Master menyuruh untuk mengeluarkan benda yang diberikan dengan menemui orang dikirimkan oleh Vail. Katanya orang yang harus ditemui itu sedang bersembunyi, maka keluarkan benda dan perlihatkan kepada perantara yang muncul lalu bicarakan kode rahasia yang tertulis pada catatan yang diberikan oleh Monk Master.
QUEST_UNUSED_20151015_000725	Melapor kepada Monk Master
QUEST_UNUSED_20151015_000726	Telah menyampaikan barang kepada perantara dengan sukses. Kembalilah pada Monk Master.
QUEST_UNUSED_20151015_000727	Mencari Pardoner Master's Ledger
QUEST_UNUSED_20151015_000728	Pardoner Master berkata Ledger yang dimiliki dirinya telah tersobek sehingga tidak dapat dipakai. Cobalah carikan Spare Ledger yang disembunyikan Pardoner Master di Monastery 35_3.
QUEST_UNUSED_20151015_000729	Telah menemukan Ledger Pardoner master. Kembalilah pada Pardoner Master.
QUEST_UNUSED_20151015_000730	Mengumpulkan sample monster tipe Plant
QUEST_UNUSED_20151015_000731	Druid Master berkata sedang menyelidiki tentang tanaman yang bertumbuh pesat setelah hari Medzio Diena. Untuk membantu penelitian, bunuhlah monster tipe Plant dan kumpulkanlah Samplenya. Semakin kuat monster maka bisa mendapatkan sample lebih banyak.
QUEST_UNUSED_20151015_000732	Menyampaikan kepada Druid Master
QUEST_UNUSED_20151015_000733	Telah cukup mengumpulkan sample dari monster tipe Plant. Kembalilah pada Druid Master.
QUEST_UNUSED_20151015_000734	Memasang Romuva Purification pada Canyon Area 36_1
QUEST_UNUSED_20151015_000735	Oracle Master berkata bahwa kekuatannya belakangan ini tertanggu karena kekuatan Demon Energy. Terutama pada Canyon area 36_1 kekuatan Demon Energy sungguh luar biasa, maka pergilah dan pasang Romuva Purication.
QUEST_UNUSED_20151015_000736	Melapor kepada Oracle Master
QUEST_UNUSED_20151015_000737	Telah memasang seluruh Romuva Purification. Kembalilah pada Oracle Master.
QUEST_UNUSED_20151015_000738	Mencoba membuka Treasure Box
QUEST_UNUSED_20151015_000739	Membunuh Monster dengan menghindari Petrification Frost
QUEST_UNUSED_20151015_000740	Setelah membuka Box, muncullah Petrification Frost dan monster di sekitar datang mengepung! Bunuhlah semua monster setelah menghindari Petrification Frost.
QUEST_UNUSED_20151015_000741	Mengecek Pillar
QUEST_UNUSED_20151015_000742	Setelah memasuki Galeed Plateau terlihat banyak sekali jumlah dari Pillar. Karena terlihat suatu Pillar yang menarik perhatian, coba hampir dan periksalah.
QUEST_UNUSED_20151015_000743	Menjaga Pillar
QUEST_UNUSED_20151015_000744	Para Monster datang menyergap dan menyerang Pillar! Lindungilah Pillar.
QUEST_UNUSED_20151015_000745	Menyebarkan Powder pada Pillar
QUEST_UNUSED_20151015_000746	Alasan para monster datang menyergap apakah karena bubuk hitam ini terlihat seperti makanan? Karena parah monster datang menyerbu, mari sebarkan semua bubuk hitam yang menempel.
QUEST_UNUSED_20151015_000747	Sepertinya ada pillar yang menyimpan catatan milik seseorang. Cobalah periksa pillar. Tulisan pada Pilar dapat terbaca walau gelap, jika ada Crystal yang memancarkan cahaya misterius.
QUEST_UNUSED_20151015_000748	Mendapatkan Monster Oil
QUEST_UNUSED_20151015_000749	Jika ingin Crystal yang mengeluarkan cahaya misterius untuk mengeluarkan cahaya cukup, maka membutuhkan Monster Oil sepertiny. Kumpulkanlah Monster oil dengan menghabisi monster.
QUEST_UNUSED_20151015_000750	Membaca tulisan yang terukir pada Pillar
QUEST_UNUSED_20151015_000751	Telah mengumpulkan seluruh Monster Oil. Mari coba membaca tulisan yang terukir pada pillar dengan sinar yang dikeluarkan Crystal dengan membawanya ke Pillar.
QUEST_UNUSED_20151015_000752	Coba dapatkan Monster Oil dengan membunuh Monster
QUEST_UNUSED_20151015_000753	Sepertinya terdapat catatan lainnya milik seseorang pada Pillar lainnya. Cobalah periksa pillar lainnya.
QUEST_UNUSED_20151015_000754	Mengatakan angka
QUEST_UNUSED_20151015_000755	Jika mengatakan angka hint yang didapat dari suatu tempat di Galeed Plateau, maka dikatakan dapat memakai untuk membaca tulisan pada Pillar. Inputlah angka pada Chatting Window di dekat Pillar. Bisa mendapatkan Hint pada Pillar dengan warna khusus.
QUEST_UNUSED_20151015_000756	Mulai terlihat sesuatu yang terukir pada Pillar! Cobalah membacanya!
QUEST_UNUSED_20151015_000757	Sepertinya Pillar telah muncul! Hampiri dan periksalah.
QUEST_UNUSED_20151015_000758	Memperbaiki Pillar
QUEST_UNUSED_20151015_000759	Jika ingin membaca tulisan pada Summon Pilar, maka memerlukan Moss yang mengeluarkan cahaya. Cobalah dapatkan dari sekitar. Tetapi, jika tidak kembali dalam 5 menit, maka harus menunggu hingga pillar muncul di lain waktu, bergegaslah.
QUEST_UNUSED_20151015_000760	Membaca tulisan pada Pillar
QUEST_UNUSED_20151015_000761	Sekarang sepertinya dapat membaca tulisan pada Pillar. Cobalah membaca dengan pergi pada Pillar.
QUEST_UNUSED_20151015_000762	Pada Pillar lainnya, sepertinya terdapat catatan lainnya yang berhubungan dengan cerita ini. Cobalah periksa pilar lainnya.
QUEST_UNUSED_20151015_000763	Mendapatkan Cairan yang lengket
QUEST_UNUSED_20151015_000764	Pillar roboh walaupun tidak disentuh. Sepertinya harus memperbaiki Pillar, maka pergilah mencari cairan yang lengket dari Monster biasa.
QUEST_UNUSED_20151015_000765	Memperbaiki Pillar
QUEST_UNUSED_20151015_000766	Telah mengumpulkan Cairan yang lengket. Sekarang cobalah kembali dan perbaiki Pillar.
QUEST_UNUSED_20151015_000767	Mendapatkan %s dari Monster
QUEST_UNUSED_20151015_000768	Mencari Viscous Fluid
QUEST_UNUSED_20151015_000769	Cerita yang tersisa, sepertinya tertulis pada Pillar itu. Coba hampiri dan periksalah.
QUEST_UNUSED_20151015_000770	Menyelipkan potongan-potongan pada Pillar
QUEST_UNUSED_20151015_000771	Jika menyelipkan potongan pola yang dimiliki, sepertinya akan cocok. Cobalah selipkan potongan itu. Tetapi, Jika menyerah pada Quest, maka potongan pola akan hilang. Ketika potongan pola telah menghilang, maka bisa mendapatkan potongan pola kembali dengan pergi kembali ke pillar-pillar tersebut.
QUEST_UNUSED_20151015_000772	Jika menyelipkan potongan pola yang dimiliki, sepertinya akan cocok. Cobalah selipkan potongan itu. Tetapi, Jika menyerah pada Quest, maka potongan pola akan hilang. Ketika potongan pola telah menghilang, maka bisa mendapatkan potongan pola kembali dengan
QUEST_UNUSED_20151015_000773	Bicara dengan Yureta
QUEST_UNUSED_20151015_000774	Cobalah melanjutkan bicara mengenai Relic dengan Yureta
QUEST_UNUSED_20151015_000775	Lakukanlah Penggalian Relic
QUEST_UNUSED_20151015_000776	Pergilah ke tempat yang ditemukan menggunakan Exploration Stick, lalu lakukan penggalian Relic dengan hati-hati.
QUEST_UNUSED_20151015_000777	Melapor pada Yureta
QUEST_UNUSED_20151015_000778	Sepertinya telah menemukan Relic. Bawakanlah kepada Yureta.
QUEST_UNUSED_20151015_000779	Bilhelmina Carriot sedang menatap tembus pada sesuatu yang ada bawa. Cobalah bicara dengan Bilhelmina Carriot.
QUEST_UNUSED_20151015_000780	Mengumpulkan Ruklys Troops' Seal dan Document Parchement
QUEST_UNUSED_20151015_000781	Bilhelmina Carriot menginginkan sedikit lebih banyak material lagi. Dapatkanlah informasi yang berguna dari Earth Castile.
QUEST_UNUSED_20151015_000782	Menyampaikan kepada Bilhelmina Carriot
QUEST_UNUSED_20151015_000783	Jika segini banyak maka Bilhelmina Carriot akan merasa puas. Sampaikanlah kepada Bilhelmina Carriot.
QUEST_UNUSED_20151015_000784	Berteberan buku-buku yang tersisa pada era Ruklys. Cobalah cari buku yang layak untuk dibaca.
QUEST_UNUSED_20151015_000785	Sepertinya bisa mendapatkan Reward jika menyampaikan buku-buku ini kepada Bilhelmina Carriot.
QUEST_UNUSED_20151015_000786	Bicara dengan Ruklys Troops Soldier's Spirit
QUEST_UNUSED_20151015_000787	Terlihat Ruklys Troops Soldier's Spirit yang bergentayangan dan tidak dapat kembali ke pelukan Goddess. Bicaralah dengannya
QUEST_UNUSED_20151015_000788	Memberitahukan perintah mundur kepada para Spirit dengan meniupkan Napal
QUEST_UNUSED_20151015_000789	Sepertinya Ruklys Troops Soldier's Spirit gugur karena tidak diberitahukan untuk mundur. Bunyikanlah Napal untuk memberitahukan perintah mundur kepada para Ruklys Troops Soldier's Spirit.
QUEST_UNUSED_20151015_000790	Telah memberitahukan perintah mundur dengan membunyikan Napal. Beritahukanlah kebenaran ini kepada Ruklys Troops Soldier's Spirit.
QUEST_UNUSED_20151015_000791	Bicara dengan Immigrant Bowein
QUEST_UNUSED_20151015_000792	Bicaralah dengan Immigrant Bowein di Lemprasa Pond
QUEST_UNUSED_20151015_000793	Bicara dengan Immigrant Brophen
QUEST_UNUSED_20151015_000794	Bicaralah dengan Immigrant Brophen
QUEST_UNUSED_20151015_000795	Menggunakan Statpoint
QUEST_UNUSED_20151015_000796	Cobalah menggunakan Statpoint setelah menekan F1 key
QUEST_UNUSED_20151015_000797	Memberikan Grass Leaf Cream
QUEST_UNUSED_20151015_000798	Immigrant Brophen meminta tolong untuk menyampaikan Grass Leaf Cream kepada Immigrant Layla
QUEST_UNUSED_20151015_000799	Bicara dengan Mayor Romanas
QUEST_UNUSED_20151015_000800	Mayor Romanas sedang menunggu anda
QUEST_UNUSED_20151015_000801	Bicara dengan Officer Lutas
QUEST_UNUSED_20151015_000802	Bicara dengan Officer Lutas di Orsha Entrance pada Lemprasa Pond
QUEST_UNUSED_20151015_000803	Bicaralah dengan Officer Lutas
QUEST_UNUSED_20151015_000804	Bunuh Boss Monster yang menyerang dadakan
QUEST_UNUSED_20151015_000805	Bunuhlah Boss Monster yang menyerang dadakan
QUEST_UNUSED_20151015_000806	Mengunjungi Orsha
QUEST_UNUSED_20151015_000807	Kunjungilah Kota Orsha
QUEST_UNUSED_20151015_000808	Bicara dengan Inesa Hamondale
QUEST_UNUSED_20151015_000809	Bicaralah dengan Inesa Hamondale bangsawan Orsha
QUEST_UNUSED_20151015_000810	Bicara dengan Immigrant Izna
QUEST_UNUSED_20151015_000811	Bicaralah dengan Immigrant Izna
QUEST_UNUSED_20151015_000812	Mengumpulkan Soft Red Leaf
QUEST_UNUSED_20151015_000813	Immigrant Izna meminta tolong untuk mengumpulkan Soft Red Leaf dengan membunuh monster di sekitar
QUEST_UNUSED_20151015_000814	Mendapatkan Soft Red Leaf
QUEST_UNUSED_20151015_000815	Mengumpulkan Rampar Mucus
QUEST_UNUSED_20151015_000816	Immigrant Izna meminta tolong untuk mengumpulkan Rampar Mucus
QUEST_UNUSED_20151015_000817	Panduan Immigrant di dalam Hutan
QUEST_UNUSED_20151015_000818	Immigrant Izna telah meminta untuk menyalakan Bonfire untuk menolong para Immigrant di area utara yang terisolasi di hutan, karena para monster raksasa
QUEST_UNUSED_20151015_000819	Menyalakan Bonfire terakhir
