QUEST_20150317_000001	Pilih user untuk memodifikasi quest.
QUEST_20150317_000709	Aku tidak suka Fiona. Aku bingung mengapa dia menjadi Hunter Master. {nl}Tapi, untuk mengalahkan Evoniphon, Aku tidak masalah bertempur bersama Fiona.
QUEST_20150317_000710	Coben's Clay Tablet
QUEST_20150317_000711	Aku berdoa pada Goddess agar saudaraku yang hilang bisa ditemukan. {nl}Lalu kami bisa membangun kedai dan menghabiskan waktu mendengarkan cerita heroiknya.
QUEST_20150317_000712	Kevin's Clay Tablet
QUEST_20150317_000713	Aku harap bisa ikut melakukan penggalian di Zachariel's royal tomb…
QUEST_20150317_000714	Uska's Clay Tablet
QUEST_20150317_000715	Goddess. {nl}Sebagai commander yang memimpin para Knight, Aku harap aku bisa melindungi Klaipeda.
QUEST_20150317_000716	Wizard Master's Clay Tablet
QUEST_20150317_000717	Aku akan menjadi Wizard Master suatu hari nanti. {nl}Dan aku akan menjadi penyihir terhebat sehebat Agailla Flurry.
QUEST_20150317_000718	Clay Tablet dengan Doa
QUEST_20150317_000719	Itu semua berkat perlindungan dari Goddess sehingga kita  {nl}mampu terhindar dari petaka Divine Day di Andale Village. {nl}Aku harap desa kita bisa berkembang dan hidup bahagia.
QUEST_20150317_000720	Titas' Clay Tablet
QUEST_20150317_000721	Aku harap semoga Savior yang bertemu denganku dapat menemukan Goddess. {nl}Tapi, Aku bingung kenapa aku tidak menjadi Savior.
QUEST_20150317_000722	Paladin Master's Clay Tablet
QUEST_20150317_000723	Aku memohon pada Goddess. {nl}Agar hari dimana para Watchers menagih janji Aku tidak akan pernah terjadi…
QUEST_20150317_000724	Cyrenia Odell's Clay Tablet
QUEST_20150317_000725	Aku berharap dapat memecahkan rahasia dari Royal Tomb of Zachariel.
QUEST_20150317_000726	Saat aku sedang bekerja, Aku berdoa pada Goddess agar tidak terkena malapetaka dan kutukan.
QUEST_20150317_000727	Pilgrim's Clay Tablet
QUEST_20150317_000728	Aku akan pergi ke Great Cathedral untuk mengikat janji suci pernikahan. {nl}Semoga jalur Pilgrim aman.
QUEST_20150317_000729	Wizard's Clay Tablet
QUEST_20150317_000730	Helgasercle, berhentilah menyerang!
QUEST_20150317_000731	Zachariel's Fragment
QUEST_20150317_000732	Teruslah bersinar, kerajaanku!
QUEST_20150317_000733	Tesla's First Fragment
QUEST_20150317_000734	Aku harap mimpiku tercapai untuk menjadi seorang pematung yang hebat!
QUEST_20150317_000735	Tesla's Second Fragment
QUEST_20150317_000736	Aku harap Sequoia melindungi owl dengan baik.
QUEST_20150317_000737	Tesla's Third Fragment
QUEST_20150317_000738	Saat aku mati, banyak pengikut yang berada disisiku.
QUEST_20150317_000739	Tesla's Fourth Fragment
QUEST_20150317_000740	Maven. Dia adalah teman yang baik. Aku berharap jiwanya tenang bersama Goddess…
QUEST_20150317_000741	Maven's Fragment
QUEST_20150317_000742	Aku berharap semua pengikutku dapat memenuhi impiannya tanpa kesulitan.
QUEST_20150317_000743	Ruklys' Fragment
QUEST_20150317_000744	Ini adalah saatnya kita menjadi satu dengan pedang kita, harapan terakhirku adalah mati dalam pelukan orang yang kucintai.
QUEST_20150317_000745	Lydia Schaffen's Fragment
QUEST_20150317_000746	Ruklys .. Maafkan aku.
QUEST_20150317_000747	Agailla Flurry's Fragment
QUEST_20150317_000748	Goddess. Tugasku, terasa sangat berat.
QUEST_20150317_000749	Premier Eminent's Fragment
QUEST_20150317_000750	Aku tidak peduli akan doa dan harapan. Aku akan berjuang sendiri.
QUEST_20150317_000751	King Kadumel's Fragment
QUEST_20150317_000752	Kalezimas. Itu adalah kata-kata yang manis!
QUEST_20150317_000753	Rimgaudas's Fragment
QUEST_20150317_000754	Pekerjaanku akan berakhir jika Tenet Cathedral telah selesai.  {nl}Semoga Goddess membimbing kita hingga akhir. 
QUEST_20150317_000755	Lucid Winterspoon's Fragment
QUEST_20150317_000756	Semoga rencanaku berhasil dan aku mendapatkan title Chronomancer Master.
QUEST_20150317_000757	Encyclopedia of Masters Vol 1
QUEST_20150317_000758	Buku ini berisi tentang informasi para master.  {nl} Untuk lebih jelasnya lihat halaman berikut.
QUEST_20150317_000759	Highlander Master  {nl}[Douglas Black] {nl}Seorang Jendral berpengalaman dari bangsawan dan bertanggung jawab atas Royal Guards.  {nl}Sebagai pemimpin dari para Highlander, dia bertarung di garis depan melindungi dunia dari kekacauan.  {nl}
QUEST_20150317_000760	Chronomancer Master {nl}[Lucid Winterspoon]{nl}terlahir dari keluarga alchemist yang terhormat, tetapi menolok pangkat yang tinggi, dan memilih untuk berada di jalan Chronomancer.{nl}Orang yang mengetahui umur wanita itu, tidak ada lagi selain Alchemist Master Vaidatos, tetapi menurut teori ia juga berpartisipasi dalam upacara penyelesaian Tenet Church.{nl}
QUEST_20150317_000761	Ranger Master  {nl} [Nemocen]  {nl}Suksesor dari Lydia Schaffen yang melegenda, adalah pemanah bintang lima.  {nl}Terkenal karena melakukan pengejaran terhadap assasin Evoniphon. Rumornya dia memiliki hubungan yang buruk dengan Hunter Master Fiona Ieva.  {nl}
QUEST_20150317_000762	Paladin Master  {nl} [Valentinas Naimon]  {nl}Yang paling terkenal dari ke empat pahlawan.  {nl}Dia telah menyelamatkan banyak nyawa pada saat Divine Tree Day.
QUEST_20150317_000763	Book Shelf
QUEST_20150317_000764	Sulit untuk dibaca. 
QUEST_20150317_000765	Ada banyak buku di dalam rak.  {nl}Yang mana yang harus dibaca?
QUEST_20150317_000766	Tidak dapat dibaca karena terkunci mantra. 
QUEST_20150317_000767	Ada beberapa buku yang bagus.  {nl}Yang mana yang harus kita baca? 
QUEST_20150317_000768	Sebagian buku bisa dibaca.  {nl}Buku mana yang harus kita baca? 
QUEST_20150317_000769	Pot
QUEST_20150317_000770	Aku bisa memasukan tanganku ke dalam pot.  {nl}Pot mana yang harus aku cek? 
QUEST_20150317_000771	Sepertinya ada sesuatu di dalam pot.  {nl}Yang mana yang harus aku cek? 
QUEST_20150317_000772	Terdapat pot lama diantara pot ini.  {nl}Haruskah aku cek? 
QUEST_20150317_000773	Sepertinya kita bisa melihat isi pot dengan membaliknya.  {nl}Yang mana yang harus aku balik? 
QUEST_20150317_000774	Ada sesuatu yang tersebar di sekitar pot.  {nl}Haruskah aku periksa? 
QUEST_20150317_000775	Ada clay tablet dengan suatu tulisan.  {nl}Haruskah aku lihat?
QUEST_20150317_000776	Ada clay tablet yang terlihat baru. 
QUEST_20150317_000777	Ada clay tablet dengan sebuah tulisan.
QUEST_20150317_000778	Clay tablet ini sepertinya sangat tua tapi masih bisa di baca. 
QUEST_20150317_000779	Menemukan clay tablet yang sangat tua.
QUEST_20150317_000780	Tidak ada apa-apa.
QUEST_20150317_000781	Jika kamu tidak hati-hati kamu bisa merusak pot itu.
QUEST_20150317_000782	Kosong
QUEST_20150317_000783	Ada serangga yang keluar.
QUEST_20150317_000784	Kentang sisa orang yang keluar.
QUEST_20150317_000785	Ada clay tablet yang keluar, tapi itu cukup sulit dibaca.
QUEST_20150317_000786	Pentingnya Istirahat
QUEST_20150317_000787	Anak muda jaman sekarang tidak pernah istirahat.  {nl}Mereka mencoba menyelesaikan semua sekaligus sambil berdiri.  {nl}
QUEST_20150317_000788	Baik itu membuat weapon, potion, atau cooking, semua dilakukan sambil berdiri.  {nl}Kamu seharusnya ambil waktu untuk duduk dan istirahat.
QUEST_20150317_000789	Duduk dan siapkan semua bahan dan peralatan yang kamu butuhkan.  {nl}Ingat membuat sesuatu itu harus melakukan persiapan. 
QUEST_20150317_000790	Goddess Ausrine
QUEST_20150317_000791	Atas nama Goddess aku mengucapkan terima kasih.  {nl}Sekarang aku akan mengikuti bintang untuk mencari Goddess Ausrine. 
QUEST_20150317_000792	Mungkin menjaga segel adalah hal yang baik.  {nl}Tapi aku yakin jika mencari saudariku yang hilang adalah solusi dari masalah ini.
QUEST_20150317_000793	Semoga kamu baik-baik saja…  {nl}Dan semoga kamu dan tanah ini terberkati.
QUEST_20150317_000794	Betul. Aku juga berpikir begitu.  {nl}Monster itu mengincar madu-madu itu.  {nl}Tapi sebaiknya kita mencari bukti, bawakan sepotong sarang lebah  {nl}dari Saltus Bee Farm.
QUEST_20150317_000795	Penakut
QUEST_20150317_000796	Mereka memanggilku penakut, aku tidak sanggup berbuat apa-apa.  {nl}Karena aku sangat ketakutan.
QUEST_20150317_000797	Kamu adalah orang yang diberitakan para lebah itu.  {nl}Aku adalah Goddess of Fate, Austeja. 
QUEST_20150317_000798	Segel dari pertanian telah stabil kembali, terima kasih.  {nl}Namun savior lainnya hilang dan tersesat karena kekuatan jahat yang ada di Spring Light Woods.
QUEST_20150317_000799	Aku menggunakan seluruh kekuatanku untuk mengunci seal agar tidak terbuka…  {nl}Jadi aku tidak dapat pergi dari sini, apalagi menyelamatkan mereka.
QUEST_20150317_000800	Kalau begitu… Tolong selamatkan mereka dan Spring Light Woods.
QUEST_20150317_000801	Unit Investigasi
QUEST_20150317_000802	Mengapa jumlah monster terus meningkat? 
QUEST_20150317_000803	Para monster telah menghancurkan hasil panen. 
QUEST_20150317_000804	Seperti yang kamu tahu, kerajaan kita dulu dilindungi oleh lima Goddess dan Goddesses lain yang membantu mereka. {nl} Tapi sekarang tidak ada yang tahu kemana mereka pergi.
QUEST_20150317_000805	Flower Shop Lady
QUEST_20150317_000806	Sekarang jarang sekali orang membeli bunga.  {nl}Bunga yang mereka beli hanyalah untuk berdoa agar para Goddesses kembali.  {nl}Aku sangat pusing memikirkan hal itu.
QUEST_20150317_000807	Aku harap Klaipeda menjadi lebih ramai seperti dulu..  {nl}Aroma dari bunga dan para penduduk menari di musim semi  {nl}untuk memuja Goddess Zemyna, Goddess of Earth..
QUEST_20150317_000808	Peringatan
QUEST_20150317_000809	Peringatan untuk berhati-hati terhadap Leaf Bugs!{nl}Bentuk serangga mirip dengan daun.  {nl}Sulit melawannya ketika mereka berkelompok.
QUEST_20150317_000810	Notice: Large Kepa itu bukan bawang!!  {nl}Memakai goggles tidak ada gunanya ke Large Kepa.  {nl}Waspada terhadap serangan kuat yang mengguncang tanah. 
QUEST_20150317_000811	Mohon jadikan doa sebagai kewajiban. Supaya kamu mendapatkan blessing dari  {nl} Goddess Zemynas yang memberikan kekuatan bagi orang baik di muka bumi.  {nl}
QUEST_20150317_000812	Goddess Zemyna Statue berada di ujung jalan.
QUEST_20150317_000813	Peringatan! Wilayah berbahaya. Jangan terkecoh dengan muka yang lucu.  {nl}Mereka menyerang berkelompok dan...  {nl} (Tulisannya seperti terbaret baret bekas cakaran sehingga sulit dibaca.)
QUEST_20150317_000814	Berbahaya! Kami tidak bertanggung jawab jika terjadi sesuatu!  {nl}Ada rumor tentang golem di sekitar sini. Mohon untuk tidak masuk area ini.
QUEST_20150317_000815	Catatan. Jika melihat golem, kami sarankan untuk berlari secepat mungkin dan berdoa pada Goddess.
QUEST_20150317_000816	Para Goddesses telah menghilang.  {nl}Namun jika kita bersama melawan kejahatan, Goddesses akan kembali.  {nl} -Laimonas
QUEST_20150317_000817	Perhatian kepada semua yang datang ke Klaipeda karena bermimpi tentang Goddess.  {nl}Knight Uska telah menunggu kalian di Central Plaza.
QUEST_20150317_000818	Selamat datang di Klaipeda Shopping Center.  {nl}Kamu bisa membeli berbagai accessories, peralatan, equipment, dan item lain.
QUEST_20150317_000819	Gunakan tangga di sebelah kanan untuk menuju Klaipeda Central Plaza.
QUEST_20150317_000820	Klaipeda Central Plaza
QUEST_20150317_000821	Papan Pengumuman
QUEST_20150317_000822	East Siauliai Woods
QUEST_20150317_000823	Tidak diketahui siapa yang membuat dan berapa umur patung ini.  {nl}Tapi yang pasti itu memiliki kekuatan misterius yang bisa membuat orang berpindah ke tempat lain.
QUEST_20150317_000824	Bagus sekali.  {nl}Aku sudah mengerjakan tugasku.  {nl}Ini adalah saatnya.
QUEST_20150317_000825	Pergilah.  {nl}Sang Sculptor telah menunggumu.  {nl}Aku sangat senang dapat membimbingmu. 
QUEST_20150317_000826	Oh ..
QUEST_20150317_000827	Berbahaya! Celah di sekitar jalanan  {nl} terdapat banyak monster berbahaya. Ini adalah kawasan terlarang!  {nl} - The Fedimian Market
QUEST_20150317_000828	Sekarang semakin sedikit orang yang berdoa pada Goddess.  {nl}Mungkin mereka kehilangan harapan..
QUEST_20150317_000829	Bagaimana aku bisa melupakanmu…  {nl}Jangan pergi ke sekitar tempat terkutuk ini lagi  {nl}dan pergilah ke tangan Goddess.
QUEST_20150317_000830	Pengumuman
QUEST_20150317_000831	Pemilik tempat ini telah pergi untuk bergabung dengan militer.  {nl}Jadi, Sementara ini restoran akan ditutup.  {nl}- Pemilik Klaipeda specialty restaurant, Vulinya
QUEST_20150317_000832	Jangan matikan lilinnya.  {nl} Para jiwa tersebut membutuhkan cahaya agar tidak tersesat.
QUEST_20150317_000833	Seperti yang kamu tahu, sang Raja meninggal pada Divine Day dan begitu juga takdir bangsawan kerajaan.  {nl}Kerajaan sedang tidak dalam kondisi yang baik tapi.. Sekarang kita masih bisa berdoa.
QUEST_20150317_000834	Untuk saat ini kita hanya bisa berdoa...
QUEST_20150317_000835	Saat puncak menara dipenuhi cahaya merah… pintu… ke dunia fantasi… akan segera terbuka.
QUEST_20150317_000836	Tekad dari King Zachariel
QUEST_20150317_000837	Savior. {nl}Dengarkanlah wahyu yang nanti akan datang.
QUEST_20150317_000838	Argh… {nl}Aku tidak menyangka bisa goyah karena manusia…
QUEST_20150317_000839	Aku akan membunuhmu dengan cara paling menyakitkan!
QUEST_20150317_000840	Pengumuman Soldier Recruitment
QUEST_20150317_000841	Kami membutuhkan kalian. {nl}Lindungi keluargamu dan kerajaanmu. {nl}  {nl} -Klaipeda Recruiting Station
QUEST_20150317_000842	Kami mencari pemuda dan pemudi pemberani dalam masa kekacauan ini.  {nl} Kamulah yang dibutuhkan dunia.  {nl} -Klaipeda Recruiting Station
QUEST_20150317_000843	Kehormatan. {nl}Itu adalah bahan utama dari seragam kita.  {nl}  {nl} -Klaipeda Recruiting Station
QUEST_20150317_000844	Perhatian! Warga sipil dilarang masuk.
QUEST_20150317_000845	Hanya petugas dan prajurit yang boleh masuk.
QUEST_20150317_000846	Mustahil
QUEST_20150317_000847	Menyelesaikan spell ini bisa membantu para prajurit.  {nl}Apakah aku bisa melakukannya?
QUEST_20150317_000848	Para prajurit akan mati jika aku tidak melakukannya.  {nl}Aku harus tetap kuat. 
QUEST_20150317_000849	Aku pasti bisa.  {nl}Aku akan mengalahkan Gaigalas kali ini. 
QUEST_20150317_000850	Sayangnya, aku tidak bisa membantumu atas permintaan Maven.  {nl}Tapi aku bisa memberikan beberapa nasehat. 
QUEST_20150317_000851	Cathedral dibangun oleh Silvestro Maven 660 tahun lalu. 
QUEST_20150317_000852	Kutukan dari Naktis… Hanya berada di sekitar tempat dia berada. {nl}Sekarang dia pergi ke Great Cathedral untuk mencari wahyu Goddess.
QUEST_20150317_000853	Kami sudah berusaha sekuat tenaga menahan dia saat menunggumu datang.  {nl}Tapi seperti yang kamu lihat, kami sudah tidak kuat lagi.
QUEST_20150317_000854	Meja Chapel
QUEST_20150317_000855	…Tiga tahun sejak Ruklys mengerti ajaranku…
QUEST_20150317_000856	…Dua tahun setelah perang, murid pertamaku mati…
QUEST_20150317_000857	…Satu tahun setelah Lydia Schaffen meninggalkan Great Cathedral…
QUEST_20150317_000858	…Salah satu dari tiga murid, Agailla Flurry…
QUEST_20150317_000859	Sudah tradisi turun temurun di tempat ini membuat pot dari tembikar dan di isi dengan doa juga harapan untuk Goddess.  {nl}Akankah bencana ini berakhir ketika Goddess kembali?
QUEST_20150317_000860	Tulisan itu kira-kira seperti ini…  {nl}Ingatlah angka-angka suci dengan mata milikmu.  {nl}Cahaya dari lilin akan mengusir kegelapan… {nl}
QUEST_20150317_000861	Ingatlah angka yang tertulis pada gagang lilin.  {nl}Dan banyaknya cahaya pada lilin untuk memecahkannya.
QUEST_20150317_000862	Relic itu telah jatuh ke tangan demon karena kelemahanku.  {nl}Tapi sepertinya mereka belum sampai ke Naktis.  {nl}
QUEST_20150317_000863	Relic yang lain juga dalam bahaya, sebaiknya kamu cepat bertindak.
QUEST_20150317_000864	Tulisan pada Altar
QUEST_20150317_000865	Goddess yang abadi.  {nl}Kami memohon pengampunanmu.
QUEST_20150317_000866	Kehidupan akan memudar dan jiwa tidak punya tempat untuk pergi.  {nl}Hanya Goddess yang dapat menyelamatkan kita.
QUEST_20150317_000867	Aku telah mengirim seorang uskup ke sana. 
QUEST_20150317_000868	Ada Monster. Lari!
QUEST_20150317_000869	Maven's Device
QUEST_20150317_000870	Maven's Device yang dibicarakan oleh uskup.  {nl}Ada sebuah lubang kunci kecil. 
QUEST_20150317_000871	Blue Pawndel
QUEST_20150317_000872	Apa ini?
QUEST_20150317_000873	Kamu tidak serius bukan?
QUEST_20150317_000874	Black Pawnd
QUEST_20150317_000875	Ada apa?  {nl} Apa kamu merasakan sesuatu?
QUEST_20150317_000876	Apakah aku bisa mempercayaimu?
QUEST_20150317_000877	Naktis
QUEST_20150317_000878	Aku tidak bisa memberikan wahyu ini kepada manusia yang picik!
QUEST_20150317_000879	Wahyu Cathedral
QUEST_20150317_000880	Kemunculan Wahyu
QUEST_20150317_000881	Ribuan tahun lalu sebelum kamu ada.  {nl}Ini adalah cerita sebelum aku meninggalkan wahyu pada Raja Agung Zachariel.
QUEST_20150317_000882	Tempat ini penuh dengan kekacauan saat Raja Agung Zachariel mencoba mendirikan kerajaan baru.  {nl}Hanya ada satu tempat yang penuh kehidupan dan Zachariel menginginkan tempat itu.
QUEST_20150317_000883	Tapi masa depan yang aku lihat pada tempat itu hanyalah penyesalan dan kematian.  {nl}Maka dari itu, Aku meninggalkan ramalan agar capital segera berpindah tempat saat kerajaan sudah berumur ribuan tahun.
QUEST_20150317_000884	Namun itu semua bergantung pada tekad dan kemauan manusia.  {nl}Akhir dari ini masih belum terlihat jelas.
QUEST_20150317_000885	Aku akan memberitahu akhir dari semua ini pada wahyu berikutnya.  {nl}Temukan wahyu itu pada Mage Tower. 
QUEST_20150317_000886	Laima
QUEST_20150317_000887	Masih ada kunci lain yang harus di cari.  {nl}Itu akan melegakan jika dijaga secara diam-diam oleh rencana dari Maven.
QUEST_20150317_000888	Tempat yang dulu ditinggali oleh Goddess sekarang dipenuhi demon.  {nl}Maven, sang uskup pertama, pasti akan sangat sedih.
QUEST_20150317_000889	Masukkan relic sesuai dengan altarnya.  {nl}Dan setelah itu kamu bisa mendapatkan Maven's first key.
QUEST_20150317_000890	Ayo, bersiaplah.  {nl}Para Wood Goblin akan datang menyerang.
QUEST_20150317_000891	Cathedral dulunya adalah tempat berdoa kepada Goddess.  {nl}Sekarang berubah menjadi sarang demon…
QUEST_20150317_000892	Itu dia key nya. Pergilah ke Veiniky Altar.  {nl}Maven's device ada di sana.
QUEST_20150317_000893	Anak buah Naktis' menjadi tidak berdaya.
QUEST_20150317_000894	Sepertinya ini adalah key untuk device pada Veiniky Altar.
QUEST_20150317_000895	Device berikutnya ada di Veiniky Altar.
QUEST_20150317_000896	Semoga obat ini bekerja dengan baik…
QUEST_20150317_000897	Sepertinya obat ini bekerja..
QUEST_20150317_000898	Makanan… Apakah kamu membawa makanan?
QUEST_20150317_000899	Apakah kamu melihat pilgrim yang selalu kelaparan?  {nl}Pilgrim itu terkena kutukan Naktis.  {nl}Itu dia mengapa dia selalu lapar, tidak peduli seberapa banyak dia makan.
QUEST_20150317_000900	Ugghh… Apa itu yang tadi aku makan?  {nl}Aku merasa mual.
QUEST_20150317_000901	Obat itu bereaksi…
QUEST_20150317_000902	Mereka merasa mual? {nl}Aku tidak tau apakah obat ini bekerja hanya dengan melihat reaksi mereka.
QUEST_20150317_000903	Aku akan memberikanmu obat.  {nl}Berikan kepada para pilgrim.
QUEST_20150317_000904	Sekarang aku lebih baik pergi dan menguburkan sang uskup.
QUEST_20150317_000905	Terima kasih sudah membantuku menguburkan bishop.
QUEST_20150317_000906	Red ball
QUEST_20150317_000907	Aku mengeluarkan red light.
QUEST_20150317_000908	Blue beads
QUEST_20150317_000909	Aku mengeluarkan blue light.
QUEST_20150317_000910	Yellow beads
QUEST_20150317_000911	Aku mengeluarkan yellow light.
QUEST_20150317_000912	Green beads
QUEST_20150317_000913	Aku mengeluarkan green light.
QUEST_20150317_000914	MurasakiTama
QUEST_20150317_000915	Aku telah membasuh violet.
QUEST_20150317_000916	Ini saatnya untuk membiarkan pengikut Naktis tahu tentang lokasi perangkat Mayvern ini.
QUEST_20150317_000917	Perangkat Mayver tidak dapat dihancurkan dengan mudah. Tetapi bukan berarti tidak dapat hancur selamanya.
QUEST_20150317_000918	Pengikut Naktis menunjukkan obsesi yang kuat atas hal-hal mereka punya di dalam perangkat Mayver ini.
QUEST_20150317_000919	Pengikut Naktis menunjukkan obsesi yang kuat atas hal-hal mereka punya di dalam perangkat Mayver ini.
QUEST_20150317_000920	Sudahkah kamu menemukan kunci terakhir?
QUEST_20150317_000921	Jika pengikut Naktis mengambilnya, maka kunci terakhir ada di tangan Naktis.
QUEST_20150317_000922	Pengikut Naktis melaporkan kepada Naktis bahwa kita telat mempunyai kunci.
QUEST_20150317_000923	The shining keys and marbles..
QUEST_20150317_000924	Warna shining keys and marbles.. Mereka terlihat sama.
QUEST_20150317_000925	Sepertinya terlihat suatu reaksi.
QUEST_20150317_000926	Pendeta ini dikirim untuk memecahkan kutukan Nokutisu yang telah menyebar ke jalan Join pilgrims. {nl} Ada sebuah dokumen tentang kutukan katedral lingkaran Asmodian dan Elyos. Aku sedang mencari dokumen Katedral Joaquin saat ini.
QUEST_20150317_000927	Perangkat ini akan dirilis ketika semua jejak ditekan ke bawah.
QUEST_20150317_000928	Tolong bawa bom beserta kotaknya. Aku selalu ingin menghancurkan pintu masuk makam raja.
QUEST_20150317_000929	Mengambil kesempatan orang-orang!
QUEST_20150317_000930	Peringatan
QUEST_20150317_000931	Berhenti! Kamu tidak bisa melalu jalan ini tanpa ijin!
QUEST_20150317_000932	Apa? Kamu terlihat masih kurang berpengalaman tetapi mungkin bisa membantu kita?{Nl} Kamu akan menemui officer ketika mengikuti jalan ini
QUEST_20150317_000933	Apa…! Kehilangan Savior di depan…! Ini bukan akhir! Ingat itu!
QUEST_20150317_000934	Oke kalau begitu. Mari memulai percobaan
QUEST_20150317_000935	Makanan basi
QUEST_20150317_000936	Pangsit kentang yg sepertinya tidah bisa dimakan. Haruskah kita memakannya?
QUEST_20150317_000937	Itu basi
QUEST_20150317_000938	Makanan yang diawetkan
QUEST_20150317_000939	Makanan yang diawetkan melalui proses pengeringan atau pengasinan.{nl}Sepertinya tidak bisa dimakan.
QUEST_20150317_000940	Liquor
QUEST_20150317_000941	Seperti bau liquor
QUEST_20150317_000942	Menjelajah
QUEST_20150317_000943	Sepertinya itu hanya bisa digunakan di Crystal Mine 3rd Gallery..
QUEST_20150317_000944	Menemukan sebuah underneath the soil.
QUEST_20150317_000945	Memakan lebih sepertinya tindakan yang berbahaya
QUEST_20150317_000946	Terasa ada sesuatu yang mengerikan di dalam
QUEST_20150317_000947	Ooopp..
QUEST_20150317_000948	Aku tidak mau memakan itu lagi.
QUEST_20150317_000949	Ini berbahaya! Aku ingin muntah!!
QUEST_20150317_000950	Kelihatannya banyak buku-buku yang menarik.{nl}Manakah yang akan kita baca?
QUEST_20150317_000951	Keajaiban Deep Forest
QUEST_20150317_000952	Banyak patung kayu burung hantu yang tidak diketahui tujuannya ditemukan di deep forests. {nl}
QUEST_20150317_000953	Di dalam hutan yang tidak berpenghuni, ada legenda tentang seseorang yang menuntun para jiwa dari orang yang telah mati.  {nl} 
QUEST_20150317_000954	Dikatakan dia telah tersembunyi selama berabad-abad dan bahkan sekarang menjadi patung.
QUEST_20150317_000955	Begitu juga Kerajaan Lung
QUEST_20150317_000956	Millenary diselenggarakan untuk memperingati seribu tahun kerajaan.
QUEST_20150317_000957	Seratus tahun setelah itu, Divine tree tumbuh di pusat ibukota, {nl} dan bencana melanda. Dunia dibinasakan oleh tanaman.
QUEST_20150317_000958	Ibukota dipenuhi dengan teriakan kesedihan orang-orang, {nl} dan segera berubah menjadi kota jatuh
QUEST_20150317_000959	Monster
QUEST_20150317_000960	Sebelum Medzio Diena, hanya terdapat Vubbes.
QUEST_20150317_000961	Tetapi setelah, monsters dengan karakteristik yang berbeda dan ganas muncul.
QUEST_20150317_000962	Rombongan Siauliai
QUEST_20150317_000963	Industri utama Siauliai adalah pertambangan, dan spesialisasinya adalah pengkristalan dari Tambang Crystal Mine.
QUEST_20150317_000964	Sekarang, hanya 1st Mine Lot yang bekerja tetapi dulu mine memiliki dua alat yang bekerja.
QUEST_20150317_000965	Tetapi 2nd Mine Lot ditutup oleh pernyataan bishop untuk menyegel iblis. {nl}Alchemist berada di desa juga untuk alasan ini.
QUEST_20150317_000966	Summa Theologica
QUEST_20150317_000967	Segala sesuatu tentang Patung Vakarine indah tetapi hal yang paling indah tentang hal itu adalah bahwa kamu dapat pergi ke dunia di mana para Goddess hidup ketika kamu menggunakan kekuasaan khusus,
QUEST_20150317_000968	Legenda Cunningham
QUEST_20150317_000969	Itu cerita yang sangat kuno tentang Itohiru dalam ingatan orang-orang.  {nl}
QUEST_20150317_000970	Selama kerja wajibnya di tambang, Cunningham bertemu dengan seorang gadis aneh yang berusia sekitar tujuh tahun. {nl} Gadis itu terus berbicara tentang bahaya besar, tapi tahu sedikit tentang dirinya.
QUEST_20150317_000971	Cunningham merasa kasihan dengan gadis itu dan merawatnya. Segera mereka menjadi teman baik.
QUEST_20150317_000972	Tapi kebahagiaan tidak berlangsung lama; segera demon menyerang tambang. {nl} Dengan bantuan gadis itu, Cunningham berperang melawan setan untuk mengusir Mirtis.
QUEST_20150317_000973	Namun, Mirtis terlalu kuat dan Cunningham harus membuat keputusan yang sulit.
QUEST_20150317_000974	Pada akhirnya, Cunningham menghancurkan mine, menyegel Mirtis dan dirinya sendiri di dalamnya.
QUEST_20150317_000975	Surgery Book Set
QUEST_20150317_000976	Orang tidak memaafkan keluarga yang membangunkan demon yang tertidur. {nl} Orang-orang mengejar keluarga dengan ketakutan terkena korupsi {nl} dan keluarga harus berkeliaran di kerajaan dengan penindasan dan diskriminasi rakyat.
QUEST_20150317_000977	Pria-pria dari keluarga itu memiliki penyakit aneh. {nl} Kulit mereka kering dan mengelupas, dan mereka terus menggaruknya seolah-olah mereka merasa sakit.
QUEST_20150317_000978	Kulit retak seperti permukaan tanah kering, dengan darah dan nanah mengalir keluar. {nl} Mereka sakit untuk waktu yang sangat lama dan tidak dapat tidur. {nl} Mereka terus-menerus dalam keadaan gangguan saraf.
QUEST_20150317_000979	Kerajaan Travelogue
QUEST_20150317_000980	Rhombuspaving Dale adalah karya dari Goddess Keingintahuan dan Alam. {nl} Tangga kapur meliputi tanah selatan diisi dengan air dan bersinar fantastis.
QUEST_20150317_000981	Warna musim semi kadang-kadang berwarna safir dan kadang-kadang berwarna batu giok. {nl} Melihat warna mereka yang mendalam dan misterius membuat Kamu bertanya-tanya apakah ini adalah karya Goddess.
QUEST_20150317_000982	Pengakuanku.
QUEST_20150317_000983	Banyaknya kematian demon tidak dapat mengisi kekosongan di hatiku. {nl} Setelah misi besar Goddess berakhir bagiku, aku akan ditinggalkan dengan umur panjang penuh kebosanan.
QUEST_20150317_000984	Dalam hal ini, Aku akan mencoba untuk menafsirkan Goddess Revelation sampai sisa hidup Aku. {nl} Jika itu bertentangan dengan kehendaknya, Goddess harus segera menghukumku.
QUEST_20150317_000985	Tetapi ini akan memberikan Aku kesempatan untuk melihat masa lalu Aku.{nl}Dan dalam jangka panjang, itu dapat membantu sang penyelamat yang muncul di masa depan.
QUEST_20150317_000986	Meja Baca
