ITEM_20150317_000001	없음_helmet
ITEM_20150317_001438	글래디에이터 밴드
ITEM_20150317_001439	왕국의 역사에서 검투경기가 가장 활발하던 카듀멜 국왕 시대에 고안된 제작법으로 근래 몬스터의 위협이 증가하자 새삼 주목받는 제작법이 되었습니다.
ITEM_20150317_001440	브레이슬릿 오브 린네
ITEM_20150317_001441	식물재앙 이후 새로운 종들이 나타났고, 대처법을 찾는 일에 공헌한 한 학자의 이름을 따라 지어졌습니다.
ITEM_20150317_001442	포라
ITEM_20150317_001443	자세히보면 
ITEM_20150317_001444	빛과 어둠이 공존하던 시대에 생명의 근원 아래에서 최초의 인간들에 의해 만들어졌도다.
ITEM_20150317_001445	 라는 문장을 발견할 수 있습니다.
ITEM_20150317_001446	포레
ITEM_20150317_001447	자카리엘 뱅글
ITEM_20150317_001448	대왕의 사후 그를 추모하여 만들어졌다는 말이 전합니다.
ITEM_20150317_001449	시셀 브레이슬릿
ITEM_20150317_001450	전설에 따르면 한 병사가 자신의 이성 및 모든 것을 광기에 내주는 대가로 이 팔찌를 얻은 후 강력한 마왕을 봉인했다고 합니다.
ITEM_20150317_001451	스킬1 팔찌
ITEM_20150317_001452	특수 스킬을 사용할 수 있습니다.
ITEM_20150317_001453	스킬2 팔찌
ITEM_20150317_001454	스킬3 팔찌
ITEM_20150317_001455	스킬4 팔찌
ITEM_20150317_001456	하이랜더 코스튬
ITEM_20150317_001457	코스튬
ITEM_20150317_001458	왕궁의 정식 행사에서도 입을 수 있는 품위를 갖추되 팔다리를 편안히 움직일 수 있는 형태로 만들어졌습니다. 
ITEM_20150317_001459	펠타스타 코스튬
ITEM_20150317_001460	펠타스타들은 화려한 복장을 선호합니다. 적에 눈에 띄는 위험보다는 아군에게 자신의 활약을 과시하는 편이기 때문입니다.
ITEM_20150317_001461	하플라이트 코스튬
ITEM_20150317_001462	다리의 활동성을 보장하여 도약후 투창등의 동작에 원활한 의상입니다. 격식을 갖춰야 할 장소에서도 어색하지 않습니다.
ITEM_20150317_001463	센츄리온 코스튬
ITEM_20150317_001464	이 의상은 지난 천 년가 거의 변함없이 이어지는 전통적 외양에 충실합니다. 
ITEM_20150317_001465	바바리안 코스튬
ITEM_20150317_001466	특정한 복식을 따르지는 않지만, 그래도 선호하는 복장이 있다면 이런 종류입니다.
ITEM_20150317_001467	캐터프락트 코스튬
ITEM_20150317_001468	기마에 어울리는 무장의 형태를 취한 상입니다. 올라탄 생물에게도 부담이 적습니다.
ITEM_20150317_001469	커세어 코스튬
ITEM_20150317_001470	실제로는 여러 옷이 모여서 하나의 옷을 구성하는 형식입니다. 바다 생활에 필요한 지혜를 반영하고 있습니다.
ITEM_20150317_001471	도펠죌트너 코스튬
ITEM_20150317_001472	도펠죌트너를 탄생시킨 지방의 복식을 유지하면서 그들의 자유로운 정신을 반영한 복장입니다. 
ITEM_20150317_001473	로델레로 코스튬
ITEM_20150317_001474	정열적인 기상을 나타내는 한편 전투에 필요한 단단한 조임을 자랑하는 의상입니다. 
ITEM_20150317_001475	스콰이어 코스튬
ITEM_20150317_001476	전장과 전투로의 험지를 도보로 이동하는 잦았던 시대의 스콰이어의 필요를 반영하고 있는 전통적인 의상입니다.
ITEM_20150317_001477	시노비 코스튬
ITEM_20150317_001478	무르밀로 코스튬
ITEM_20150317_001479	팬서 코스튬
ITEM_20150317_001480	랜서 코스튬
ITEM_20150317_001481	드라군 코스튬
ITEM_20150317_001482	파이로맨서 코스튬
ITEM_20150317_001483	파이로맨서들은 자신들의 의상이 마법사이자 신사적인 사제의 외양을 나타낸다고 생각합니다.
ITEM_20150317_001484	크리오맨서 코스튬
ITEM_20150317_001485	냉기에는 익숙하지만 극한의 냉기를 다룰 경우도 고려하여 만들어졌습니다. 현재 마스터의 성격을 반영해 실용적인 목작에 충실합니다.
ITEM_20150317_001486	사이코키노 코스튬
ITEM_20150317_001487	겉으로는 단정하지만, 입어보면 헐렁한 의상입니다. 사이코키노는 정신만큼이나 신체도 구속받기 원하지 않기 때문입니다.
ITEM_20150317_001488	알케미스트 코스튬
ITEM_20150317_001489	사실은 여러 벌의 옷을 겹쳐 입어 비상시에 하나씩 벗을 수 있도록 되어있습니다.
ITEM_20150317_001490	소서러 코스튬
ITEM_20150317_001491	마법사치고는 전투적인 복장입니다. 그들이 다루는 피조물을 생각하면 당연한 일입니다.
ITEM_20150317_001492	링커 코스튬
ITEM_20150317_001493	사물의 연결을 추구하기에 복식에서는 아무런 연상점을 찾을 수 없는 단백한 의상이 요구됩니다. 다른 링커에게 연상에 의한 연결점을 주지 않기 위해서라고 합니다.
ITEM_20150317_001494	크로노맨서 코스튬
ITEM_20150317_001495	크로노맨서의 의상은 그들의 주장에 따르면 아가일라 플러리가 가장 좋아하던 형태의 옷이라고 합니다.
ITEM_20150317_001496	네크로맨서 코스튬
ITEM_20150317_001497	그들은 자신들이 어둡게 보이기를 원하지 않지만, 장례 의식을 집전해도 충분한 의상입니다.
ITEM_20150317_001498	쏘마터지 코스튬
ITEM_20150317_001499	실은 이들의 의상은 이들이 사용하는 마법과는 잘 어울리지 않습니다. 그러나 전통이란 무시할 수 없는 요소입니다.
ITEM_20150317_001500	엘리멘탈리스트 코스튬
ITEM_20150317_001501	엘리멘탈리스트의 의상은 어떤 마법유파의 특징도 드러내지 않도록 주의 깊게 고안되었습니다.
ITEM_20150317_001502	미믹 코스튬
ITEM_20150317_001503	도사 코스튬
ITEM_20150317_001504	헌터 코스튬
ITEM_20150317_001505	다른 무엇보다 숲에서의 오랜 생활에 맞도록 고안된 의상입니다. 
ITEM_20150317_001506	쿼렐슈터 코스튬
ITEM_20150317_001507	예전에는 큰 도시의 경비병 의상이었다고 합니다. 쿼렐슈터들이 그 임무에서 벗어난 후에도 의상은 변하지 않았습니다.
ITEM_20150317_001508	레인저 코스튬
ITEM_20150317_001509	레인저들의 의상은 실은 쿼렐슈터의 의상에서 발전하여 변화했습니다.
ITEM_20150317_001510	새퍼 코스튬
ITEM_20150317_001511	새퍼들은 군대와 관련이 있지만, 맡은 일의 성격상 복장의 규제를 받지 않습니다.
ITEM_20150317_001512	무고사 코스튬
ITEM_20150317_001513	그들이 기원한 고향의 전통을 반영하고 있는 의상입니다.
ITEM_20150317_001514	하카펠 코스튬
ITEM_20150317_001515	탑승 상태에서 좌우로 몸을 쉽게 돌릴 수 있으며 다리가 편안하도록 고안된 의상입니다.
ITEM_20150317_001516	스카우트 코스튬
ITEM_20150317_001517	활동할 환경보다 시간에 초점을 맞춘 의상입니다. 
ITEM_20150317_001518	로그 코스튬
ITEM_20150317_001519	스카우트의 의상과 비슷한 방식으로 제작되었지만, 조금 더 활동성이 있습니다. 그만큼 격식 있는 자리에는 어색한 편입니다.
ITEM_20150317_001520	슈바르츠라이터 코스튬
ITEM_20150317_001521	사람들의 신뢰를 모을 수 있는 기품있고 기백어린 의상입니다.
ITEM_20150317_001522	플레쳐 코스튬
ITEM_20150317_001523	두터운 천을 사용하여 의외로 방어력이 높습니다. 플레쳐의 행태상 움직임은 조금 불편해도 무방합니다.
ITEM_20150317_001524	응사 코스튬
ITEM_20150317_001525	감정사 코스튬
ITEM_20150317_001526	파이드파이퍼 코스튬
ITEM_20150317_001527	머스킷티어 코스튬
ITEM_20150317_001528	프리스트 코스튬
ITEM_20150317_001529	프리스트들은 그들이 가장 정통적이고 중립적인 성직자라고 여기며 그들의 의상에는 그런 생각이 반영되었습니다.
ITEM_20150317_001530	크리비 코스튬
ITEM_20150317_001531	크리비는 가장 오랜 전통적 신앙의 수호자라고 자부합니다. 그들이 따르는 복식은 자카리엘 시대까지 거슬러 올라갑니다.
ITEM_20150317_001532	보코르 코스튬
ITEM_20150317_001533	무기를 휘드르든 수정구를 들여다보든 바느질을 하든 모두 어울리는 옷입니다.
ITEM_20150317_001534	드루이드 코스튬
ITEM_20150317_001535	단이 긴 그들의 옷은 야외 생활에 장점이 있다고 합니다.
ITEM_20150317_001536	사두 코스튬
ITEM_20150317_001537	이 유형의 성직자가 처음 발원한 지역의 전통 의상에 많은 영향을 받은 옷입니다.
ITEM_20150317_001538	딥디르비 코스튬
ITEM_20150317_001539	당연한 말이지만, 조각에 편리하지 않은 의상은 논외입니다.
ITEM_20150317_001540	오라클 코스튬
ITEM_20150317_001541	가볍고 부드러워 심신을 안정시키는 효과가 있다고 합니다.
ITEM_20150317_001542	몽크 코스튬
ITEM_20150317_001543	신체를 단련하고 사용하는 일에 불편하지 않으면서 사제의 정숙함을 강조한 의상입니다.
ITEM_20150317_001544	파드너 코스튬
ITEM_20150317_001545	파드너들의 정장이 그런 것처럼 상대에게 신뢰감을 줍니다.
ITEM_20150317_001546	팔라딘 코스튬
ITEM_20150317_001547	팔라딘에게는 실내 예배용 의상과 야외 전투용 의상이 따로 있다고 합니다. 이것은 야외용입니다.
ITEM_20150317_001548	양치기 코스튬
ITEM_20150317_001549	군목 코스튬
ITEM_20150317_001550	없음_Hat
ITEM_20150317_001551	헤어 코스튬
ITEM_20150317_001552	머리 장식입니다. 오른쪽 클릭으로 장착할 수 있습니다.
ITEM_20150317_001553	고양이귀
ITEM_20150317_001554	특정 동물에게 우호적이 됩니다.
ITEM_20150317_001555	수정 머리띠
ITEM_20150317_001556	묶은 머리
ITEM_20150317_001557	눈을 보호하기 위해 착용하는 고글입니다.
ITEM_20150317_001558	강철 바이저
ITEM_20150317_001559	날개 바이저
ITEM_20150317_001560	페도라
ITEM_20150317_001561	고글
ITEM_20150317_001562	어떤 상황에서도 눈을 똑바로 뜰 수 있습니다. 다만 김이 서릴 수도 있습니다.
ITEM_20150317_001563	레푸스버니 머리띠
ITEM_20150317_001564	레푸스버니의 귀를 본따 만든 머리띠입니다. 이것을 착용했다고 귀가 밝아지지는 않습니다.
ITEM_20150317_001565	은행잎
ITEM_20150317_001566	가을이 되면 쉽게 볼 수 있는 은행잎입니다. 은행 냄새가 날 수도 있습니다.
ITEM_20150317_001567	호랑나비
ITEM_20150317_001568	호랑나비 한 마리가 머리에 앉은 효과를 체험합니다.
ITEM_20150317_001569	독수리깃
ITEM_20150317_001570	급할 때는 필기구로도 쓸 수 있습니다.
ITEM_20150317_001571	머슈카리아 모자
ITEM_20150317_001572	머리에서 정말 버섯이 피어날지도 모릅니다.
ITEM_20150317_001573	왕관
ITEM_20150317_001574	권력에는 항상 책임이 뒤따릅니다.
ITEM_20150317_001575	흰꽃 머리핀
ITEM_20150317_001576	잘못하면 정신 이상자로 오해받을지도 모릅니다.
ITEM_20150317_001577	호랑이 가면
ITEM_20150317_001578	익살스럽게 그려진 호랑이 가면입니다.
ITEM_20150317_001579	티니 인형
ITEM_20150317_001580	실제로 티니와 마주하게 된다면 인형과는 매우 다를 것입니다.
ITEM_20150317_001581	날개 투구
ITEM_20150317_001582	날개 모양의 장식이 더해진 투구입니다.
ITEM_20150317_001583	날개 장식
ITEM_20150317_001584	어떤 여신의 날개에서 영감을 받아 만들어진 머리 장식입니다.
ITEM_20150317_001585	둥지튼 알
ITEM_20150317_001586	왜 머리 위에 둥지를 틀었는지는 알 수 없습니다.
ITEM_20150317_001587	둥지튼 병아리
ITEM_20150317_001588	먹이를 주지 않으면 머리를 쪼아 원형탈모가 일어날지도 모릅니다.
ITEM_20150317_001589	둥지튼 닭
ITEM_20150317_001590	이제 계란 걱정은 없습니다.
ITEM_20150317_001591	제식모
ITEM_20150317_001592	행진을 하거나 특별한 행사에 참여할 때 사용되는 모자입니다.
ITEM_20150317_001593	신사의 품격
ITEM_20150317_001594	매우 고상한 분위기를 풍기는 모자입니다.
ITEM_20150317_001595	세련된 안경
ITEM_20150317_001596	렌즈에 색이 더해진 최신 유행의 인경입니다.
ITEM_20150317_001597	얼음 주머니
ITEM_20150317_001598	열이 나거나 머리를 식힐 때 매우 좋습니다.
ITEM_20150317_001599	해당화
ITEM_20150317_001600	기분 좋은 향기가 납니다.
ITEM_20150317_001601	깃털 모자
ITEM_20150317_001602	모자보다 깃털이 큰 것은 신경쓰지 않아도 됩니다.
ITEM_20150317_001603	단풍잎
ITEM_20150317_001604	단풍잎 모양의 머리 장식입니다. 불에 탈 수 있으니 조심해야합니다.
ITEM_20150317_001605	붉은술모자
ITEM_20150317_001606	머리에 술을 달아 멋을 부린 모자입니다. 지위가 높은 사람들이 사용하기도 합니다.
ITEM_20150317_001607	간호사 머리띠
ITEM_20150317_001608	이것을 착용한다고 치유력이 생기지는 않습니다.
ITEM_20150317_001609	카틴 꽃 장식
ITEM_20150317_001610	카틴 숲의 꽃으로 만든 머리 장식입니다. 푸르스름한 빛을 발하고 있습니다.
ITEM_20150317_001611	강아지귀
ITEM_20150317_001612	강아지귀로 당신의 귀여움을 더 하십시오.
ITEM_20150317_001613	젖소 머리띠
ITEM_20150317_001614	음메에 음메에 음메에 음메 음메에
ITEM_20150317_001615	작은 사자탈
ITEM_20150317_001616	어느 한 지방에서는 악귀를 몰아내기위해 이것을 쓰고 춤을 춘다고 합니다.
ITEM_20150317_001617	큰 사자탈
ITEM_20150317_001618	텐구가면
ITEM_20150317_001619	어느 머나먼 나라에서 전해오는 요괴라고 알려져 있습니다.
ITEM_20150317_001620	여우가면
ITEM_20150317_001621	여우의 얼굴을 본다 만든 가면입니다. 이것을 쓰고 활동하는 암살자가 있었다고 합니다.
ITEM_20150317_001622	이세계의 안경
ITEM_20150317_001623	이것을 쓰고 보면 입체감이 더 살아납니다.
ITEM_20150317_001624	산양 뿔
ITEM_20150317_001625	이것을 쓴다면 박치기 위력이 올라갈지도 모릅니다.
ITEM_20150317_001626	악마 날개 장식
ITEM_20150317_001627	착용한다고 마족에게 영향을 받거나 주지는 않습니다.
ITEM_20150317_001628	은머리장식
ITEM_20150317_001629	때로 결혼식에서 신부가 이것으로 머리를 장식하곤 합니다.
ITEM_20150317_001630	곰안대
ITEM_20150317_001631	빛을 차단하여 숙면에 도움을 줍니다.
ITEM_20150317_001632	부의 상징
ITEM_20150317_001633	부가 뭔지 보여주십시오.
ITEM_20150317_001634	금토끼장식
ITEM_20150317_001635	순금으로 만들어져 있으니 잃어버리지 마십시오.
ITEM_20150317_001636	사슴뿔장식
ITEM_20150317_001637	이것을 쓰고 썰매를 끌어보는 것도 나쁜 생각은 아닐 겁니다.
ITEM_20150317_001638	장교 투구
ITEM_20150317_001639	권위를 나타내기위해 장식이 더해져 있습니다.
ITEM_20150317_001640	금테 투구
ITEM_20150317_001641	판금 주변을 금테로 장식한 투구입니다.
ITEM_20150317_001642	강철 투구
ITEM_20150317_001643	단단한 판금으로 만들어진 투구입니다. 기사들이 많이 사용합니다.
ITEM_20150317_001644	까만 토끼귀
ITEM_20150317_001645	호사가들은 펴진 토끼귀와 굽어있는 토끼귀중에 어느것이 더 귀여운지 논쟁을 벌이곤 합니다.
ITEM_20150317_001646	케파 인형
ITEM_20150317_001647	케파를 본딴 모자입니다.
ITEM_20150317_001648	핑크 바니
ITEM_20150317_001649	핑크핑크한 매력과 귀여움을 동시에 뽐내보세요.
ITEM_20150317_001650	말뚝이
ITEM_20150317_001651	어느 머나먼 나라에서 사용되는 가면이라고 합니다.
ITEM_20150317_001652	백호가면
ITEM_20150317_001653	희귀한 동물이 백호를 본따 만든 가면입니다.
ITEM_20150317_001654	안경
ITEM_20150317_001655	시력 향상에 도움이 됩니다.
ITEM_20150317_001656	유니콘 뿔
ITEM_20150317_001657	전설로 내려전해오는 유니콘의 뿔입니다.
ITEM_20150317_001658	붉은 뿔
ITEM_20150317_001659	악마가 될 수는 없어도 뿔은 달 수 있습니다.
ITEM_20150317_001660	사막 츄파카브라귀
ITEM_20150317_001661	귀안에 솜털이 돋아나 있습니다.
ITEM_20150317_001662	미르티스 투구
ITEM_20150317_001663	미르티스가 사용했던 투구입니다.
ITEM_20150317_001664	붉은 악마날개
ITEM_20150317_001665	왜 머리에 날개를 달려고 하는 것일까요?
ITEM_20150317_001666	천사날개
ITEM_20150317_001667	나 이젠 알아 혼자된 기분을 그건 착각이었어.
ITEM_20150317_001668	타락천사날개
ITEM_20150317_001669	부정을 저질러 타락한 천사들은 날개가 까맣게 변했다고 합니다.
ITEM_20150317_001670	메이드 머리띠
ITEM_20150317_001671	주인님 오늘은 무엇을 도와드릴까요?
ITEM_20150317_001672	무고사 투구
ITEM_20150317_001673	무고사를 상징하는 투구입니다.
ITEM_20150317_001674	귀마개
ITEM_20150317_001675	소음을 막아준다
ITEM_20150317_001676	모든 소음을 완벽하게 차단해줍니다. 물론 만드라고라의 비명도 말이죠.
ITEM_20150317_001677	고급스런 머리핀
ITEM_20150317_001678	깃털 투구
ITEM_20150317_001679	주술사 가면
ITEM_20150317_001680	새싹
ITEM_20150317_001681	계란 후라이
ITEM_20150317_001682	고깔모자
ITEM_20150317_001683	고양이 머리핀
ITEM_20150317_001684	임페리얼 헬름
ITEM_20150317_001685	이세계의 공
ITEM_20150317_001686	부담스러운 리본
ITEM_20150317_001687	종이학
ITEM_20150317_001688	망자의 머리띠
ITEM_20150317_001689	카니발 가면
ITEM_20150317_001690	공작 깃털
ITEM_20150317_001691	워보닛
ITEM_20150317_001692	파인애플
ITEM_20150317_001693	황야의 무법자
ITEM_20150317_001694	광대 모자
ITEM_20150317_001695	부엉이
ITEM_20150317_001696	왕관 머리띠
ITEM_20150317_001697	푸딩
ITEM_20150317_001698	족두리
ITEM_20150317_001699	땡땡이 리본
ITEM_20150317_001700	파란 리본
ITEM_20150317_001701	민트초코컵케이크
ITEM_20150317_001702	딸기컵케이크
ITEM_20150317_001703	메르겐 모자
ITEM_20150317_001704	요령
ITEM_20150317_001705	자신의 위협수치를 초기화 시켜줍니다.
ITEM_20150317_001706	섀도엄브렐러
ITEM_20150317_001707	동물형 몬스터가 자신을 공격할 수 없게됩니다.
ITEM_20150317_001708	메두사헤드
ITEM_20150317_001709	적을 석화상태로 만듭니다.
ITEM_20150317_001710	컨퓨전플래그
ITEM_20150317_001711	적을 혼란상태로 만듭니다.
ITEM_20150317_001712	파초선
ITEM_20150317_001713	적을 멀리 날려버립니다.
ITEM_20150317_001714	항마저
ITEM_20150317_001715	악마형 몬스터의 방어력을 감소시킵니다.
ITEM_20150317_001716	놋 나침반
ITEM_20150317_001717	혼란에 대한 면역력이 생깁니다.
ITEM_20150317_001718	버블스틱
ITEM_20150317_001719	버블스태프
ITEM_20150317_001720	보조단검
ITEM_20150317_001721	HPSP포션
ITEM_20150317_001722	SP포션
ITEM_20150317_001723	스피드포션
ITEM_20150317_001724	STA포션
ITEM_20150317_001725	어그로포션
ITEM_20150317_001726	돈자루
ITEM_20150317_001727	훈장
ITEM_20150317_001728	네잎클로버
ITEM_20150317_001729	참
ITEM_20150317_001730	소지하면 치명타율이 증가합니다.
ITEM_20150317_001731	연금술1
ITEM_20150317_001732	연금술2
ITEM_20150317_001733	연금술3
ITEM_20150317_001734	연금술4
ITEM_20150317_001735	연금술5
ITEM_20150317_001736	연금술6
ITEM_20150317_001737	연금술7
ITEM_20150317_001738	연금술8
ITEM_20150317_001739	연금술9
ITEM_20150317_001740	연금술10
ITEM_20150317_001741	연금술11
ITEM_20150317_001742	연금술12
ITEM_20150317_001743	연금술13
ITEM_20150317_001744	연금술14
ITEM_20150317_001745	연금술15
ITEM_20150317_001746	피팅룸
ITEM_20150317_001747	그리그리
ITEM_20150317_001748	후라이팬
ITEM_20150317_001749	해적깃발
ITEM_20150317_001750	삽
ITEM_20150317_001751	집게
ITEM_20150317_001752	클레이모어스킬
ITEM_20150317_001753	연금술16
ITEM_20150317_001754	망치
ITEM_20150317_001755	램프
ITEM_20150317_001756	필터
ITEM_20150317_001757	모루셋
ITEM_20150317_001758	망치2
ITEM_20150317_001759	재료가방
ITEM_20150317_001760	몬스트런스셋
ITEM_20150317_001761	돋보기
ITEM_20150317_001762	돋보기스킬
ITEM_20150317_001763	없음_Outer
ITEM_20150317_001764	없음_Pants
ITEM_20150317_001765	없음_Gloves
ITEM_20150317_001766	없음_Boots
ITEM_20150317_001767	상의
ITEM_20150317_001768	스태미나 +5 증가 물약
ITEM_20150317_001769	마우스 오른쪽 버튼 클릭으로 사용
ITEM_20150317_001770	작은 HP포션
ITEM_20150317_001771	2초 간격으로 15초 동안 HP를 192 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001772	HP포션
ITEM_20150317_001773	2초 간격으로 15초 동안 HP를 320 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.
ITEM_20150317_001774	큰 HP포션
ITEM_20150317_001775	2초 간격으로 15초 동안 HP를 640 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.
ITEM_20150317_001776	작은 SP포션
ITEM_20150317_001777	2초 간격으로 15초 동안 SP를 144 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001778	2초 간격으로 15초 동안 SP를 240 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.
ITEM_20150317_001779	큰 SP포션
ITEM_20150317_001780	2초 간격으로 15초 동안 SP를 480 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.
ITEM_20150317_001781	스태미나 알약
ITEM_20150317_001782	스태미나를 15 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001783	STA 물약(중)
ITEM_20150317_001784	스태미나를 30 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.
ITEM_20150317_001785	STA 물약(대)
ITEM_20150317_001786	스태미나를 40 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 60초.
ITEM_20150317_001787	작은 회복포션
ITEM_20150317_001788	2초 간격으로 15초 동안 HP와 SP를 224 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001789	회복포션
ITEM_20150317_001790	2초 간격으로 15초 동안 HP와 SP를 373 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001791	큰 회복포션
ITEM_20150317_001792	2초 간격으로 15초 동안 HP와 SP를 744 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001793	STA +5 증가 물약
ITEM_20150317_001794	스태미나 +5 증가
ITEM_20150317_001795	붉은 케파 조각
ITEM_20150317_001796	사용 시 몬스터에게 주기적인 독데미지(Lv1)를 준다.
ITEM_20150317_001797	야수형 몬스터에게 사용가능
ITEM_20150317_001798	HP 회복약(소)
ITEM_20150317_001799	SP 회복약(소)
ITEM_20150317_001800	HP +5 증가 물약
ITEM_20150317_001801	HP +10 증가 물약
ITEM_20150317_001802	이동속도 증가 포션
ITEM_20150317_001803	180초 동안 이동속도를 +5 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.
ITEM_20150317_001804	워프 주문서
ITEM_20150317_001805	다른 여신상으로 이동할 수 있습니다. 현재 위치는 여신상에 기억됩니다.
ITEM_20150317_001806	컴패니언 먹이
ITEM_20150317_001807	벨하이더의 스태미나를 30 회복 시켜줍니다.
ITEM_20150317_001808	바루날레샤
ITEM_20150317_001809	SP를 +32~35 회복 시켜줍니다. 손쉽게 구할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20150317_001810	발래리요나스
ITEM_20150317_001811	약초로 사용되는 꽃입니다.
ITEM_20150317_001812	초브랠리스
ITEM_20150317_001813	보라색 빛을 띤 꽃입니다. 달여 먹으면 원기회복에 효능이 있습니다. 스태미나를 +8 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20150317_001814	워시스
ITEM_20150317_001815	들판에서 자라나는 약초입니다.
ITEM_20150317_001816	아말라스
ITEM_20150317_001817	아비에테
ITEM_20150317_001818	기슬로티스
ITEM_20150317_001819	프리스트들의 제례에 사용되는 약초입니다.
ITEM_20150317_001820	요나졸레
ITEM_20150317_001821	마이루나스
ITEM_20150317_001822	라무넬레
ITEM_20150317_001823	라오도넬리스
ITEM_20150317_001824	단맛이 나는 약초. 상처 치료에 쓰이기도 한다. HP를 회복시켜준다.
ITEM_20150317_001825	양파
ITEM_20150317_001826	양파 껍질은 까본 사람만이 안다.
ITEM_20150317_001827	살라위야스
ITEM_20150317_001828	딜겔레
ITEM_20150317_001829	맛은 좋지 않지만 SP를 회복시켜주는 효과가 있다.
ITEM_20150317_001830	매두스
ITEM_20150317_001831	단맛이 나는 끈적한 액체입니다.
ITEM_20150317_001832	누켈라
ITEM_20150317_001833	도토리
ITEM_20150317_001834	송로버섯
ITEM_20150317_001835	SP를 +350~400 회복 시켜줍니다. 미식가들사이에서는 최고의 진미로 여겨집니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20150317_001836	꽃빵
ITEM_20150317_001837	송이버섯
ITEM_20150317_001838	베조아르
ITEM_20150317_001839	LV50 미션에서 등장하는 미션 글래스몰과 미션 우드스피릿에게서 얻는다.
ITEM_20150317_001840	레드옥스
ITEM_20150317_001841	황소같은 체력을 가질 수 있게 해줍니다. 10분간 스태미나가 소비되지 않습니다.
ITEM_20150317_001842	건빵
ITEM_20150317_001843	피렌트 열매
ITEM_20150317_001844	망고스틴
ITEM_20150317_001845	복숭아
ITEM_20150317_001846	수르스트뢰밍
ITEM_20150317_001847	두리안
ITEM_20150317_001848	딸기
ITEM_20150317_001849	지혜의 열매
ITEM_20150317_001850	레몬
ITEM_20150317_001851	어그로 물약
ITEM_20150317_001852	LV120 클라페다 교구의 의뢰
ITEM_20150317_001853	미션 포탈을 열어주는 스크롤입니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.
ITEM_20150317_001854	수정광산 미션 워프석
ITEM_20150317_001855	LV140 파수꾼들의 의뢰
ITEM_20150317_001856	LV160 팔라딘 추종자들의 의뢰
ITEM_20150317_001857	칠채곡 미션 워프석
ITEM_20150317_001858	가시숲 미션 워프석
ITEM_20150317_001859	협곡 미션 워프석
ITEM_20150317_001860	왕릉 미션 워프석
ITEM_20150317_001861	유적지대 미션 워프석
ITEM_20150317_001862	마법사의 탑 미션 워프석
ITEM_20150317_001863	성수
ITEM_20150317_001864	성스러운 힘이 깃든 물입니다. 프리스트들이 사용합니다.
ITEM_20150317_001865	홀리 파우더
ITEM_20150317_001866	프리스트들이 마법을 사용할 때 이용되는 흰색의 가루입니다. 그들이 지닌 성스러운 힘을 증폭시켜준다고 합니다.
ITEM_20150317_001867	카타콤 미션 워프석
ITEM_20150317_001868	마늘
ITEM_20150317_001869	포포리온 고기
ITEM_20150317_001870	HP를 +40~50 회복 시켜줍니다. 쉽게 구할 수 있는 고기입니다. 날것으로 먹어도 괜찮습니다.  마우스 오른쪽 클릭으로 사용합니다.
ITEM_20150317_001871	클라페다 워프 주문서
ITEM_20150317_001872	클라페다로 이동시켜줍니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.
ITEM_20150317_001873	NXP 상자
ITEM_20150317_001874	NXP를 1개 획득합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20150317_001875	[독] 상태이상을 치료합니다.
ITEM_20150317_001876	벨하이더 먹이
ITEM_20150317_001877	벨하이더가 좋아하는 먹이입니다. 컴패니언의 HP를 모두 회복하고 스태미나가 +30 회복됩니다.
ITEM_20150317_001878	호글란 먹이
ITEM_20150317_001879	호글란이 좋아하는 먹이입니다. 컴패니언의 HP를 모두 회복하고 스태미나가 +30 회복됩니다.
ITEM_20150317_001880	아르마 먹이
ITEM_20150317_001881	아르마가 좋아하는 먹이입니다. 컴패니언의 HP를 모두 회복하고 스태미나가 +30 회복됩니다.
