QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150317_002515	쉬르쉬에 양지에서 농기구가 든 배낭 수색
QUEST_LV_0200_20150317_002516	리스는 쉬르쉬에 양지에서 허니핀과 마주치는 바람에 농기구가 든 배낭을 놓고 도망쳤다고 합니다. 농기구를 되찾아 주세요.
QUEST_LV_0200_20150317_002517	리스에게 농기구 전달
QUEST_LV_0200_20150317_002518	농기구가 든 배낭을 찾았습니다. 리스에게 돌려주세요.
QUEST_LV_0200_20150317_002519	쉬르쉬에 양지에서 %s 수색
QUEST_LV_0200_20150317_002520	허니핀 처치
QUEST_LV_0200_20150317_002521	발다와 대화
QUEST_LV_0200_20150317_002522	발다는 뭔가 부탁하고 싶은게 있는 모양입니다. 이야기를 들어보세요.
QUEST_LV_0200_20150317_002523	벌통조각 수집
QUEST_LV_0200_20150317_002524	발다는 마라스가 벌통 조각을 모으는 것을 시켰는데 몬스터가 무서워 도저히 할 수 없다고 합니다. 발다를 대신해서 살투스 양봉장의 벌통 조각을 모아 주세요.
QUEST_LV_0200_20150317_002525	발다에게 전해줄 벌통 조각을 모두 모았습니다. 발다에게 전해 주세요.
QUEST_LV_0200_20150317_002526	살투스 양봉장에서 %s 수집
QUEST_LV_0200_20150317_002527	리스는 고민이 있는 것 같습니다. 무슨 일인지 알아보세요.
QUEST_LV_0200_20150317_002528	라단자 농원에 씨 뿌리기
QUEST_LV_0200_20150317_002529	리스는 마을 어귀의 밭에 채소 씨를 뿌려야 하는데 몬스터들이 무섭다고 합니다. 대신 밭에 씨를 뿌려주세요.
QUEST_LV_0200_20150317_002530	씨를 모두 뿌렸습니다. 리스에게 돌아가서 알려주세요.
QUEST_LV_0200_20150317_002531	사제 라엘리에와 대화
QUEST_LV_0200_20150317_002532	사제 라엘리에는 단단히 화가 난 듯한 모양입니다. 사제 라엘리에를 찾아가 보세요.
QUEST_LV_0200_20150317_002533	벌나무 가지 채집
QUEST_LV_0200_20150317_002534	사제 라엘리에는 마을사람들이 망쳐놓은 것을 수습하기 위해 벌나무 가지가 필요하다고 합니다. 마을 근처에서 벌나무 가지를 모아 주세요.
QUEST_LV_0200_20150317_002535	벌나무 가지를 충분히 모았습니다. 사제 라엘리에에게 돌아가세요.
QUEST_LV_0200_20150317_002536	{memo X}벌나무 가지를 사용하여 %s 수집
QUEST_LV_0200_20150317_002537	사제 라엘리에는 하고 싶은 이야기가 있는 것 같습니다. 사제 라엘리에를 찾아가 보세요.
QUEST_LV_0200_20150317_002538	수호석 가동
QUEST_LV_0200_20150317_002539	사제 라엘리에는 곧 마족들이 이곳으로 쳐들어 올 것이라고 합니다. 수호석을 가동하여 마족들의 침입을 방어하세요.
QUEST_LV_0200_20150317_002540	몬스터의 공격이 그친 것 같습니다. 사제 라엘리에에게 돌아가세요.
QUEST_LV_0200_20150317_002541	벌나무 가지로 무슨 일을 해야 할지 사제 라엘리에에게 물어보세요.
QUEST_LV_0200_20150317_002542	마족을 처치하여 불타버린 마족의 재 수집
QUEST_LV_0200_20150317_002543	사제 라엘리에는 마족의 체력을 반 이하일 때 벌나무 가지를 사용하여 아우스테야 여신의 힘으로 마족을 태워 죽이면 마족의 재를 얻을 수 있다고 합니다.
QUEST_LV_0200_20150317_002544	마족의 재를 모았습니다. 사제 라엘리에와 대화해 보세요.
QUEST_LV_0200_20150317_002545	사제 라엘리에는 마족의 재로 구슬을 만들었습니다. 구슬로 무엇을 할지 이야기를 들어보세요.
QUEST_LV_0200_20150317_002546	잔재의 구슬에 신성한 기운 충전
QUEST_LV_0200_20150317_002547	{memo X}아우스테야 여신이 관리하던 땅에는 신성한 마력이 가득하다고 합니다. 팔라마 절벽으로 가서 잔재의 구슬에 에너지를 충전하세요.
QUEST_LV_0200_20150317_002548	잔재의 구슬에 신성한 마력을 모두 담았습니다. 사제 라엘리에에게 돌아가세요.
QUEST_LV_0200_20150317_002549	잔재의 구슬에 신성한 마력이 충분히 모였습니다. 이걸로 어떻게 하면 되는지 사제 라엘리에에게 물어보세요.
QUEST_LV_0200_20150317_002550	약해진 봉인탑 복구
QUEST_LV_0200_20150317_002551	스튤라 가도에 있는 약해진 봉인탑을 복구하세요. 마족들이 봉인을 부수기 위해 몰려올지도 모르니 서두르는 것이 좋겠습니다.
QUEST_LV_0200_20150317_002552	아우스테야 여신과 대화
QUEST_LV_0200_20150317_002553	마족들이 변이시킨 봉인탑을 복구하자 아우스테야 여신이 모습을 드러냈습니다. 아우스테야 여신의 이야기를 들어보세요.
QUEST_LV_0200_20150317_002554	아우스테야 여신의 이야기 듣기
QUEST_LV_0200_20150317_002555	아우스테야 여신은 양봉지역 전체에 일어나고 있는 일은 전부 마군주의 봉인을 풀려는 마족들의 소행이라고 합니다.
QUEST_LV_0200_20150317_002556	사제 라엘리에는 신경쓰이는 일이 있는 모양입니다. 도울일은 없을 지 이야기를 들어보세요.
QUEST_LV_0200_20150317_002557	거대한 변이 식물 확인
QUEST_LV_0200_20150317_002558	거대한 풀은 어딘가 위험해보입니다. 조심해서 살펴보세요.
QUEST_LV_0200_20150317_002559	거대한 변이 식물은 몬스터로 변한 쿠르미스였습니다. 사제 라엘리에를 찾아가 전해주세요.
QUEST_LV_0200_20150317_002560	약해진 봉인탑 확인
QUEST_LV_0200_20150317_002561	마족의 공격으로 약해진 봉인탑을 확인하세요.
QUEST_LV_0200_20150317_002562	{memo X}마군주 타우트리마스 처치
QUEST_LV_0200_20150317_002563	{memo X}약해진 봉인탑을 노리고 마군주 타우트리마스가 나타났습니다. 마군주 타우트리마스를 처치하세요.
QUEST_LV_0200_20150317_002564	{memo X}욕심쟁이 드루바와 대화
QUEST_LV_0200_20150317_002565	{memo X}욕심쟁이 드루바는 자신을 도와줄 사람을 찾고 있는 것 같습니다. 욕심쟁이 드루바와 대화해 보세요.
QUEST_LV_0200_20150317_002566	참나무 줄기 채집
QUEST_LV_0200_20150317_002567	{memo X}욕심쟁이 드루바는 몬스터를 쫓을 허수아비를 세우고 싶어 합니다. 허수아비를 만들 재료인 참나무 줄기를 모아오세요.
QUEST_LV_0200_20150317_002568	{memo X}참나무 줄기를 모두 모았습니다. 욕심쟁이 드루바에게 돌아가세요.
QUEST_LV_0200_20150317_002569	마을 근처에서 %s 채집
QUEST_LV_0200_20150317_002570	{memo X}욕심쟁이 드루바의 부탁대로 참나무 줄기를 구해다 줬습니다. 다음 이야기를 들어보세요.
QUEST_LV_0200_20150317_002571	부적을 붙인 허수아비 설치
QUEST_LV_0200_20150317_002572	{memo X}아르클뤼 사거리의 왼쪽에 있는 욕심쟁이 드루바의 밭에 부적을 붙인 허수아비를 설치하고 몬스터의 반응을 살펴 보세요.
QUEST_LV_0200_20150317_002573	망한 양봉가 로센과 대화
QUEST_LV_0200_20150317_002574	양봉가 로센의 기분이 매우 나빠보입니다. 무슨 일인지 이야기 해보세요.
QUEST_LV_0200_20150317_002575	양봉가 로센은 몬스터들 때문에 양봉업이 망했다면서 한탄하고 있습니다. 양봉가 로센을 대신해서 복수해주세요.
QUEST_LV_0200_20150317_002576	양봉가 로센의 부탁대로 몬스터를 처치했습니다. 양봉가 로센에게 돌아가세요.
QUEST_LV_0200_20150317_002577	사제 다지네와 대화
QUEST_LV_0200_20150317_002578	봄볕나무 숲에 있는 사제 다지네를 찾아가세요.
QUEST_LV_0200_20150317_002579	조각난 아우스테야의 상징 수집
QUEST_LV_0200_20150317_002580	사악한 힘에 현혹된 계시자들을 되돌리려면 아우스테야의 상징이 필요하다고 합니다. 먼저 몬스터들에 의해 조각난 아우스테야의 상징을 모아오세요.
QUEST_LV_0200_20150317_002581	조각난 아우스테야의 상징 회수
QUEST_LV_0200_20150317_002582	아우스테야 제단에서 상징 복원
QUEST_LV_0200_20150317_002583	아우스테야 제단으로 가서 조각난 아우스테야의 상징을 복구하세요.
QUEST_LV_0200_20150317_002584	아우스테야의 제단에서 여신의 상징을 복구했습니다. 사제 다지네에게 전해 주세요.
QUEST_LV_0200_20150317_002585	현혹된 계시자들을 정화하는 일에 대해 아우스테야 신도와 이야기 해보세요.
QUEST_LV_0200_20150317_002586	현혹된 계시자들을 정화
QUEST_LV_0200_20150317_002587	현혹된 계시자를 공격해서 제압한 후 아우스테야의 상징을 이용해서 정화하세요.
QUEST_LV_0200_20150317_002588	현혹된 계시자들을 모두 정화했습니다. 사제 다지네와 이야기해보세요.
QUEST_LV_0200_20150317_002589	현혹된 계시자들을 모두 치료했습니다. 이제 무슨 일을 하면 되는지 아우스테야 신도에게 물어보세요.{nl}{nl}현혹된 계시자들을 모두 정화했습니다. 이제 봉인에 대해 사제 다지네와 대화해 보세요.
QUEST_LV_0200_20150317_002590	랑키스 봉인과 랑카 봉인 복구
QUEST_LV_0200_20150317_002591	사악한 기운을 가둬두기 위한 봉인의 탑은 마족들에 의해 전부 부서져 버렸다고 합니다. 아우스테야의 상징으로 조금이나마 봉인에 힘을 부여할 수 있습니다.{nl}{nl}사악한 기운을 가둬두기 위한 봉인의 탑은 마족들에 의해 부서져 있다고 합니다. 아우스테야의 상징으로 봉인을 복구하세요.
QUEST_LV_0200_20150317_002592	랑키스 봉인탑과 랑카 봉인탑에 여신의 힘 부여
QUEST_LV_0200_20150317_002593	첫번째 부서진 봉인탑에 힘을 부여했습니다. 다음 부서진 봉인탑에도 여신의 힘을 부여하세요.
QUEST_LV_0200_20150317_002594	아우스테야 여신이 나타나 뭔가 이야기를 해주려고 합니다. 무슨 이야기인지 들어보세요.
QUEST_LV_0200_20150317_002595	봄볕나무 숲 제단 확인
QUEST_LV_0200_20150317_002596	봄볕나무 숲 제단에 수상한 그림자가 보입니다. 자세히 살펴보세요.
QUEST_LV_0200_20150317_002597	제단에는 체이퍼가 숨어있었습니다. 체이퍼를 처치하세요.
QUEST_LV_0200_20150317_002598	부서진 봉인탑 확인
QUEST_LV_0200_20150317_002599	누군가가 탑을 부서버렸습니다. 상태를 확인해보세요.
QUEST_LV_0200_20150317_002600	맨티켄 처치
QUEST_LV_0200_20150317_002601	탑을 부서버린 범인은 맨티켄인 모양입니다. 맨티켄을 처치하세요.
QUEST_LV_0200_20150317_002602	상인 둘케와 대화
QUEST_LV_0200_20150317_002603	상인 둘케에게 무언가 곤란한 일이 생긴 모양입니다. 이야기를 들어보세요.
QUEST_LV_0200_20150317_002604	상인 둘케의 짐꾸러미 찾기
QUEST_LV_0200_20150317_002605	상인 둘케는 몬스터에게 도망치다가 짐을 잃어버렸다고 합니다. 상인 둘케가 잃어버린 짐을 찾아주세요.
QUEST_LV_0200_20150317_002606	상인 둘케에게 짐꾸러미 전달
QUEST_LV_0200_20150317_002607	상인 둘케의 짐꾸러미를 모두 찾았습니다. 상인 둘케에게 돌려주세요.
QUEST_LV_0200_20150317_002608	%s 찾기
QUEST_LV_0200_20150317_002609	주민 에밀과 대화
QUEST_LV_0200_20150317_002610	봄볕나무 숲 주민 에밀은 부탁하고 싶은 일이 있는 것 같습니다. 주민 에밀을 찾아가세요.
QUEST_LV_0200_20150317_002611	마을 주변의 몬스터 처치
QUEST_LV_0200_20150317_002612	{memo X}주민 에밀은 세개울 숲에 가기가 너무 위험하다고 합니다. 안전하게 갈 수 있도록 몬스터를 처치해주세요.
QUEST_LV_0200_20150317_002613	몬스터를 충분히 처치했습니다. 봄볕나무 숲 주민 에밀에게 돌아가 대화하세요.
QUEST_LV_0200_20150317_002614	약사 티아나와 대화
QUEST_LV_0200_20150317_002615	약사 티아나는 봄볕나무 숲에서 나는 약재로 약을 만들고 있습니다. 약사 티아나와 이야기 해보세요.
QUEST_LV_0200_20150317_002616	봄볕초 구하기
QUEST_LV_0200_20150317_002617	약사 티아나는 약을 만드는데 필요한 봄볕초가 부족하다고 합니다. 벌꿀 젤리를 이용해 숨어있는 봄볕초를 찾아 모아주세요.
QUEST_LV_0200_20150317_002618	약사 티아나에게 봄볕초 전달
QUEST_LV_0200_20150317_002619	봄볕초를 충분히 모았습니다. 이제 약사 티아나에게 전해주세요.
QUEST_LV_0200_20150317_002620	페디미안의 장비 상인과 대화
QUEST_LV_0200_20150317_002621	강화에 실패하자 페디미안의 장비 상인이 안타까운 듯 혀를 찹니다. 페디미안의 장비 상인과 대화해 보세요.
QUEST_LV_0200_20150317_002622	순례자의 표식 수집
QUEST_LV_0200_20150317_002623	장비 상인은 자신의 일을 도와 준다면 괜찮은 사례를 하겠다고 합니다. 큰 아귀 길에 가서 순례자의 표식을 구해 오세요.
QUEST_LV_0200_20150317_002624	페디미안의 장비 상인에게 전달
QUEST_LV_0200_20150317_002625	순례자의 표식을 모두 구했습니다. 페디미안의 장비상인에게 전해 주세요.
QUEST_LV_0200_20150317_002626	큰 아귀 길의 몬스터로부터 %s 획득
QUEST_LV_0200_20150317_002627	기사단장 우스카 만나기
QUEST_LV_0200_20150317_002628	기사단장 우스카에게 뭔가 골치아픈 일이 생긴 것 같습니다. 기사단장 우스카와 대화해 보세요.
QUEST_LV_0200_20150317_002629	{memo X}적갈나무 단층숲 몬스터 토벌
QUEST_LV_0200_20150317_002630	{memo X}기사단장 우스카는 숲의 깊은 곳에서 몬스터가 대량으로 쏟아져 나왔지만 병력이 부족한 관계로 손을 쓸 수 없었다고 합니다. 기사단을 대신해서 적갈나무 단층숲의 몬스터를 100마리 처치하세요.
QUEST_LV_0200_20150317_002631	{memo X}적갈나무 단층숲의 몬스터 토벌 작전을 완수했습니다. 기사단장 우스카에게 돌아가 그의 시름을 덜어 주세요.
QUEST_LV_0200_20150317_002632	{memo X}적갈나무 단층숲의 몬스터 처치
QUEST_LV_0200_20150317_002633	쓰러진 부엉이 조각상 살펴보기
QUEST_LV_0200_20150317_002634	무덤거미둥지에 쓰러진 부엉이 조각상이 보입니다. 다가가서 살펴 봅시다.
QUEST_LV_0200_20150317_002635	쓰러진 부엉이 조각상을 건드리자 갑자기 쓰론위버가 나타났습니다!
QUEST_LV_0200_20150317_002636	의심스러운 여신상
QUEST_LV_0200_20150317_002637	아몰라룰 언덕에는 여신상이 세워져 있습니다. 그러나 이 여신상은 여느 여신상과는 약간 다른 것처럼 보이지만 일단 경배를 드려 보세요.
QUEST_LV_0200_20150317_002638	코럽티트 처치하기
QUEST_LV_0200_20150317_002639	여신상이 코럽티드로 바뀌었습니다! 일단 코럽티드를 해치우세요.
QUEST_LV_0200_20150317_002640	코럽티드 처치
QUEST_LV_0200_20150317_002641	대장 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002642	성실한 대장 부엉이의 표정이 암울합니다. 성실한 대장 부엉이와 다시 대화해 보세요.
QUEST_LV_0200_20150317_002643	이쉬라이 사거리의 약해진 부엉이 조각상 살펴보기
QUEST_LV_0200_20150317_002644	대장 부엉이는 이쉬라이 사거리의 부엉이가 걱정된다고 합니다. 약해진 부엉이 조각상을 찾아보고 뽑히거나 쓰러져 있다면 세워주세요.
QUEST_LV_0200_20150317_002645	약해진 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002646	약해진 부엉이가 쓰러져 있는 것을 다시 세워 놓았습니다. 약해진 부엉이 조각상과 대화하세요
QUEST_LV_0200_20150317_002647	약해진 부엉이는 금방이라도 울 것 같아 보입니다. 약해진 부엉이와 대화해 보세요.
QUEST_LV_0200_20150317_002648	납치된 부엉이들의 흔적 찾기
QUEST_LV_0200_20150317_002649	{memo X}약해진 부엉이는 몬스터들이 먹지 못하고 가져가버린 동료 부엉이를 찾아 주길 원하고 있습니다. 이쉬라이 사거리 길, 각각의 끝에 있는 몬스터의 은거지 세 곳에서 부엉이 조각상의 흔적을 찾아 보세요.
QUEST_LV_0200_20150317_002650	부서진 부엉이의 조각 전달
QUEST_LV_0200_20150317_002651	{memo X}부서진 부엉이의 조각을 모두 찾았습니다. 약해진 부엉이에게 부서진 부엉이의 조각을 전달하세요.
QUEST_LV_0200_20150317_002652	{memo X}릴리야와 대화
QUEST_LV_0200_20150317_002653	{memo X}큰아귀 길에 릴리야라는 순례자가 있습니다. 간절하게 뭔가를 원하고 있는 것 같으니 다가가 말을 걸어 보세요.
QUEST_LV_0200_20150317_002654	{memo X}먹을 것 구해 오기
QUEST_LV_0200_20150317_002655	{memo X}릴리야는 계속 배가 고프다고 말 하고 있습니다. 주변의 몬스터에게서 고기를 구해 릴리야에게 가져다 주세요.
QUEST_LV_0200_20150317_002656	{memo X}릴리야에게 몬스터 고기덩어리를 가져다 주세요.
QUEST_LV_0200_20150317_002657	{memo X}주변 몬스터들로부터 %s획득
QUEST_LV_0200_20150317_002658	아직도 릴리야의 허기는 채워지지 않은 모양입니다. 다시 말을 걸어 보세요.
QUEST_LV_0200_20150317_002659	{memo X}갈대의 연한 줄기 구해 오기
QUEST_LV_0200_20150317_002660	{memo X}배고픈 릴리야를 위해 주변 갈대싹에서 연한 줄기를 채취해다 주세요.
QUEST_LV_0200_20150317_002661	{memo X}갈대의 연한 줄기를 모두 모았습니다. 릴리야에게 전해 주러 가세요.
QUEST_LV_0200_20150317_002662	{memo X}갈대 싹에서 %s 채취
QUEST_LV_0200_20150317_002663	{memo X}릴리야의 허기는 채워 진 걸까요? 다시 그녀에게 말을 걸어 봅시다.
QUEST_LV_0200_20150317_002664	카너버 처치
QUEST_LV_0200_20150317_002665	어찌 된 일일까요? 배고픔에 허덕이던 릴리야가 사라지고 갑자기 카너버가 나타났습니다. 공격해 오는 카너버를 일단 처치 하세요.
QUEST_LV_0200_20150317_002666	{memo X}쓰러져 있는 릴리야와 대화
QUEST_LV_0200_20150317_002667	{memo X}카너버를 처치한 자리에서 릴리야가 다시 나타났습니다. 쓰러져 있는 릴리야와 대화를 시도해 보세요.
QUEST_LV_0200_20150317_002668	{memo X}릴리야가 변신한 것 같은 카너버 처치
QUEST_LV_0200_20150317_002669	{memo X}릴리야의 무덤 만들기
QUEST_LV_0200_20150317_002670	{memo X}릴리야는 곧 숨이 멎을 것 같습니다.. 마지막으로 그녀의 부탁을 들어 주세요.
QUEST_LV_0200_20150317_002671	{memo X}릴리야의 무덤을 만들어 주세요.
QUEST_LV_0200_20150317_002672	순례자 율리우스와 대화
QUEST_LV_0200_20150317_002673	큰아귀 길에는 사연이 많은 순례자가 있는 것 같습니다. 율리우스와 대화해 보세요.
QUEST_LV_0200_20150317_002674	{memo X}몬스터 살점 구해 오기
QUEST_LV_0200_20150317_002675	{memo X}순례자 율리우스의 이야기는 정확히 이해하기 어렵지만, 배가 고파 하는 것 같습니다. 주변의 몬스터로부터 먹을 만한 것을 구해 봅시다.
QUEST_LV_0200_20150317_002676	순례자 율리우스에게 먹을 것 전해 주기
QUEST_LV_0200_20150317_002677	{memo X}몬스터의 살점을 충분히 구했습니다. 이것들을 순례자 율리우스에게 가져다 주세요.
QUEST_LV_0200_20150317_002678	{memo X}주변 몬스터로부터 %s 획득
QUEST_LV_0200_20150317_002679	{memo X}게걸스럽게 몬스터 살점을 뜯고 있는 율리우스에게 다시 말을 걸어 봅시다.
QUEST_LV_0200_20150317_002680	드라페리운 설득
QUEST_LV_0200_20150317_002681	{memo X}큰아귀 길에 어떤 저주라도 내린 것일까요? 우연히 주워서 가지고 있던 오르골을 빼앗아 가더니 율리우스가 갑자기 드라페리운으로 변해버렸습니다! 공격해 오는 드라페리운을 어떻게든 설득해 다시 인간의 모습으로 돌아오게 해야 합니다. 일단 공격하여 HP를 소진시켜 보는 게 어떨까요?
QUEST_LV_0200_20150317_002682	율리우스가 다시 나타났습니다. 다가가서 말을 걸면 그간의 사연을 들을 수 있을 것 같습니다.
QUEST_LV_0200_20150317_002683	{memo X}순례자 율리우스는 본래의 모습으로 돌아 온 듯 합니다. 그에게 가서 말을 들어 봅시다.
QUEST_LV_0200_20150317_002684	{memo X}니코티아의 어린 잎 구해오기
QUEST_LV_0200_20150317_002685	{memo X}율리우스가 기운을 차리고 자초지종을 이야기 할 수 있도록 니코티아의 어린 잎을 구해 와야 합니다. 니코티아의 어린 잎은 텅빈나무 숲에 가면 구할 수 있습니다.
QUEST_LV_0200_20150317_002686	{memo X}니코티아의 어린 잎을 모두 구했습니다. 순례자 율리우스에게 가져다 주세요.
QUEST_LV_0200_20150317_002687	{memo X}수도자의 안식처에 있는 식량무지
QUEST_LV_0200_20150317_002688	{memo X}율리우스가 말한 썩은 고기 무더기는 수도자의 안식처를 지나 빛내린 땅에 들어서기 전에 있습니다. 그곳에 가서 율리우스와 릴리야의 반지를 삼켜버린 리버피드를 처치하세요.
QUEST_LV_0200_20150317_002689	릴리야와 율리우스의 목걸이를 삼킨 리버피드가 나타났습니다! 어서 처치하고 목걸이를 되찾으세요.
QUEST_LV_0200_20150317_002690	목걸이를 삼킨 리버피드 처치
QUEST_LV_0200_20150317_002691	순례자 재뉴스와 대화
QUEST_LV_0200_20150317_002692	{memo X}큰아귀 길 갈대밭에 순례자 두 명이 있습니다. 무슨 사연이 있는 듯 보이니, 다가가서 말을 걸어 보세요.
QUEST_LV_0200_20150317_002693	{memo X}대체 재뉴스가 지키고 있는 식량무지를 헤치다가 죽음을 당한 사람은 누구일까요? 도대체 큰아귀 길에는 무슨 일이 일어나고 있는 걸까요? 일단 재뉴스에게 말을 걸어 봅시다.
QUEST_LV_0200_20150317_002694	{memo X}재뉴스는 아직도 씩씩거리면서 주변의 몬스터들마져 이 식량무지를 탐내고 있다고 말하고 있습니다. 일단 주변을 정리하세요.
QUEST_LV_0200_20150317_002695	재뉴스가 시키는 대로 주변을 일단 정리했습니다. 다시 돌아가 말을 걸어 보세요.
QUEST_LV_0200_20150317_002696	{memo X}식량무지에서 몬스터의 미끼 구하기
QUEST_LV_0200_20150317_002697	{memo X}재뉴스를 달랠 만한 먹을거리를 구해 와야 합니다.
QUEST_LV_0200_20150317_002698	{memo X}음식 찌꺼기로 몬스터를 꾀어 잡기
QUEST_LV_0200_20150317_002699	{memo X}재뉴스의 말 대로 식량무지에는, 곰팡이가 피어 있긴 하지만 식탐에 찌든 몬스터를 유인하기에는 괜찮을 것 같은 굳고 검은 빵이 나왔습니다. 이것으로 주변의 몬스터를 유인해 재뉴스의 식량무지를 쌓는 데 도움을 주세요.
QUEST_LV_0200_20150317_002700	{memo X}몬스터들이 훔쳐간 곡물을 꽤 구했습니다. 이제 그것들을 재뉴스에게 가져다 주세요.
QUEST_LV_0200_20150317_002701	{memo X}음식 찌꺼기로 몬스터를 유인해서 %s 획득
QUEST_LV_0200_20150317_002702	{memo X}식량무지 치우기
QUEST_LV_0200_20150317_002703	{memo X}큰아귀 길의 곳곳에는 식량무지들이 있습니다. 식탐에 잠식당한 자들이 끌어 모아 놓기만 해서 온통 썩어버린 식량무지들을 치워 보세요.
QUEST_LV_0200_20150317_002704	나태의 나무뿌리 수정 살펴보기
QUEST_LV_0200_20150317_002705	네바싱가스 가도에는 이상하게 생긴 나무뿌리 수정이 있습니다. 주변의 이상한 기운들의 근원이 이 나무뿌리 수정인 듯 하니, 가까이 다가가 살펴 보세요.
QUEST_LV_0200_20150317_002706	{memo X}나무뿌리 수정 보호 장치 파괴
QUEST_LV_0200_20150317_002707	{memo X}나무 뿌리 수정을 살펴 보았더니 갑자기 수호 장치들이 나타났습니다! 몬스터의 공격을 피해 정해진 시간 내에 수호 장치를 모두 파괴하세요.
QUEST_LV_0200_20150317_002708	{memo X}저주의 나무뿌리 수정 보호 장치 파괴
QUEST_LV_0200_20150317_002709	{memo X}나태의 나무뿌리 수정 파괴 시도
QUEST_LV_0200_20150317_002710	{memo X}유랑민 캠프에는 나크티스에 의해 나태의 저주를 받아 변형된 나무뿌리 수정이 있습니다. 다가가서 파괴 하세요.
QUEST_LV_0200_20150317_002711	{memo X}소환된 나무뿌리 수정의 보호석 파괴
QUEST_LV_0200_20150317_002712	{memo X}유랑민 캠프의 변형된 나무뿌리 수정을 공격했더니 갑자기 스태미나가 사라지면서 다른 주변으로 그 핵이 분열되어 버렸습니다. 일단 그 핵을 찾아 모두 해체 하세요.
QUEST_LV_0200_20150317_002713	나태의 나무뿌리 수정 파괴
QUEST_LV_0200_20150317_002714	{memo X}수정의 핵을 모두 해체 했습니다. 이제 다시 변형된 나무뿌리 수정 파괴를 시도 해 보세요.
QUEST_LV_0200_20150317_002715	{memo X}지코레 기슭의 변형된 나무뿌리 수정
QUEST_LV_0200_20150317_002716	{memo X}지코레 기슭에 변형된 나무뿌리 수정이 있습니다. 다가가 이 나태의 저주를 풀어 주세요.
QUEST_LV_0200_20150317_002717	몰려나온 몬스터 처치
QUEST_LV_0200_20150317_002718	{memo X}나무뿌리 수정을 건드리자 몬스터들이 뛰쳐 나왔습니다! 시간 내에 이들을 모두 물리치세요.
QUEST_LV_0200_20150317_002719	{memo X}지코레 기슭의 변형된 나무뿌리 수정 파괴
QUEST_LV_0200_20150317_002720	{memo X}몬스터들을 모두 물리쳤습니다. 이제 다시 나무뿌리 수정을 파괴하세요.
QUEST_LV_0200_20150317_002721	{memo X}나무뿌리 수정 파괴
QUEST_LV_0200_20150317_002722	{memo X}순례자의 무덤 동쪽에 변형된 나무뿌리 수정이 있습니다. 이 땅의 저주를 풀기 위해서는 이 나무뿌리 수정도 파괴해야 합니다.
QUEST_LV_0200_20150317_002723	캑터스벨 처치
QUEST_LV_0200_20150317_002724	나무뿌리 수정이 켁터스벨로 변신했습니다! 켁터스벨을 처치 하세요.
QUEST_LV_0200_20150317_002725	{memo X}변형된 나무뿌리 수정
QUEST_LV_0200_20150317_002726	{memo X}파수크티 굽잇길에 있는 변형된 나무뿌리 수정이 있습니다. 다가가서 살펴 보세요.
QUEST_LV_0200_20150317_002727	{memo X}주변 몬스터로부터 나무뿌리 수정 에너지원 모으기
QUEST_LV_0200_20150317_002728	{memo X}변형된 나무뿌리 수정을 살펴 보는 도중, 나무뿌리 수정이 이상 반응을 일으키면서 주변을 오염시켜 버리고 말았습니다! 이상 반응 도중 주변 몬스터에 뿌려져버린 나무뿌리 수정 에너지원을 일단 찾아 봅시다.
QUEST_LV_0200_20150317_002729	변형된 나무뿌리 수정 봉인하기
QUEST_LV_0200_20150317_002730	{memo X}나무뿌리 수정 에너지원을 모두 모았으니 그것으로 변형된 나무뿌리 수정을 봉인하세요.
QUEST_LV_0200_20150317_002731	{memo X}노레티 샘터의 변형된 나무뿌리 수정
QUEST_LV_0200_20150317_002732	{memo X}노레티 샘터에는 변형된 나무뿌리 수정이 있습니다. 가까이 다가가서, 나태의 저주를 풀기 위해 무엇을 해야 하는지 살펴 보세요.
QUEST_LV_0200_20150317_002733	{memo X}나무뿌리 수정 해체
QUEST_LV_0200_20150317_002734	{memo X}나무뿌리 수정을 살펴 보았더니 갑자기 여러 개의 나무뿌리 수정이 소환 되어 버렸습니다! 일대에 소환 된 변형 나무뿌리 수정 중 진짜를 찾아 해체 하세요.
QUEST_LV_0200_20150317_002735	{memo X}흩어진 계단으로 가는 길목
QUEST_LV_0200_20150317_002736	{memo X}흩어진 계단으로 가는 길목의 공터에는 변형된 커다란 나무뿌리 수정이 있습니다. 다른 나무뿌리 수정과는 크기와 형태가 좀 다른 듯 합니다. 다가가서 살펴 보세요.
QUEST_LV_0200_20150317_002737	변신한 글러튼 처치
QUEST_LV_0200_20150317_002738	나무뿌리 수정이 갑자기 글러튼으로 변신했습니다! 글러튼을 처치 하세요!
QUEST_LV_0200_20150317_002739	나무뿌리 수정으로 변신해 있던 글러튼 처치
QUEST_LV_0200_20150317_002740	{memo X}순례자의 무덤에는 보물 상자가 있습니다. 다가가서 발로 차면 무슨 일이 일어날까요?
QUEST_LV_0200_20150317_002741	{memo X}몬스터들을 다시 데려오기
QUEST_LV_0200_20150317_002742	{memo X}보물 상자를 여는 순간 그 안에 있었던 것으로 보이는 몬스터들이 모두 빠져 나갔습니다! 몬스터들을 다시 데려와서 상자 안에 넣어 둡시다.
