QUEST_LV_0100_20150317_000001	경계병
QUEST_LV_0100_20150317_001503	사우가스가 돌을 가지고 그냥 사라져버렸다고?{nl}말도 안 되는 소리 말아.
QUEST_LV_0100_20150317_001504	네가 괜히 겁먹은 건 아니고?{nl}아직 돌이 남았으니 저 멀리에서 다시 한 번 유인해 줘.
QUEST_LV_0100_20150317_001505	설마 사우가스가 내 냄새를 맡고 도망친 건가?{nl}충분히 그럴 수 있지. 나라면.
QUEST_LV_0100_20150317_001506	사우가 같은 몬스터만 꼬였단 말이지.{nl}알겠어. 난 대장이 걱정할 테니 천천히 캠프로 돌아가야지.
QUEST_LV_0100_20150317_001507	이 곳엔 덴옵틱이라는 아주 무서운 몬스터가 있어요.{nl}그 몬스터가 삼킨 유물이 꼭 필요한데 어떻게 안될까요?
QUEST_LV_0100_20150317_001508	사실 저도 덴옵틱이 돌을 먹는 건 처음 봐요.{nl}누군가의 농간일까요?
QUEST_LV_0100_20150317_001509	어쩜 이리 꼭 맞는 조각을 찾아오셨을까!{nl}정말 감사합니다.
QUEST_LV_0100_20150317_001510	{memo X}조금 더 부탁을 드려도 될까요?{nl}오데가 언덕길의 몬스터를 처치해 주셨으면 하거든요.{nl}어찌나 연구에 방해되던지.
QUEST_LV_0100_20150317_001511	감사합니다.{nl}협곡 입구 쪽의 학자들한텐 용병을 붙여주면서 왜 이쪽은 지원이 이리도 없는지.
QUEST_LV_0100_20150317_001512	아이리네에게 무슨 일이 벌어진다면 난 어떻게 살아야 하지..
QUEST_LV_0100_20150317_001513	몬스터들은 왜 유물을 노리는 걸까요.{nl}우리가 알면 안 될 거라도 있는 걸까.{nl}
QUEST_LV_0100_20150317_001514	어쨌든, 연구에 도움을 주셔서 감사합니다.
QUEST_LV_0100_20150317_001515	닐스라는 버르장머리 없는 놈에게 도망쳐야해.{nl}참, 별을 보러 가야지.
QUEST_LV_0100_20150317_001516	뭔가 중요한 게 있었는데..{nl}
QUEST_LV_0100_20150317_001517	자네 여기서 뭘 하고 있는 건가?
QUEST_LV_0100_20150317_001518	노망이나? 웃기지도 않는 소리.{nl}난 멀쩡해. 미친 건 너희들이지.
QUEST_LV_0100_20150317_001519	도대체 이 위험한 곳에 노인의 몸으로 혼자 어딜 가셨단 말인가.{nl}정신도 성치 않으신 분이..
QUEST_LV_0100_20150317_001520	나는 싸우는 것 보단 잘 도망치는 쪽을 택했지.{nl}연구엔 그 쪽이 더 도움된다고 생각해.
QUEST_LV_0100_20150317_001521	설마 몬스터들이 연구자료를 먹는 걸 좋아하는 걸까요.{nl}어떻게 생각하세요?
QUEST_LV_0100_20150317_001522	기분 나쁘게 들리실 수도 있지만.. 저는 지금 대화할 여력이 없네요.
QUEST_LV_0100_20150317_001523	예전의 난 사냥꾼이었지. {nl}이런 나에게 협곡의 몬스터쯤이야 나에겐 우습지.
QUEST_LV_0100_20150317_001524	이거 참. 꼴이 말이 아니군.
QUEST_LV_0100_20150317_001525	위험하지만, 보람은 있습니다.{nl}하지만 실종사건은 좀 무섭군요.
QUEST_LV_0100_20150317_001526	비가 지독히도 오는군.{nl}이런 날이면 이상하게 몬스터가 더 날뛴단 말야.
QUEST_LV_0100_20150317_001527	도대체 누가 무슨 일을 꾸미고 있는 걸까요?{nl}분명히 왕릉을 노리는 걸 거예요.
QUEST_LV_0100_20150317_001528	몬스터를 조종하다니, 적어도 사람이 할 짓은 아니에요.{nl}그렇다면 마족일까요? 아아.. 머릿속이 너무 복잡해요.{nl}제가 도대체 무얼 본 걸까요?
QUEST_LV_0100_20150317_001529	{memo X}아마 저는 계속 잠들 수 없겠죠.
QUEST_LV_0100_20150317_001530	{memo X}들립니까? 들려요? 억울하게 죽은 이들의 비명 소리가?
QUEST_LV_0100_20150317_001531	왕릉의 유물을 위조해서 파는 범죄자들이 떳떳히 돌아다니고 있습니다.{nl}이미 제 얼굴은 알려졌고 어쩐다..
QUEST_LV_0100_20150317_001532	여기도 몬스터가 많지만, 왕릉 가까이에서는 석상이 움직인다더군요.{nl}왕의 잠을 방해하면 공격한다지요?
QUEST_LV_0100_20150317_001533	어쩌면 좋지?{nl}마을이 이 꼴이 된 것도 모자라서 부베들이 마을 사람들을 납치해 갔어.
QUEST_LV_0100_20150317_001534	사냥꾼
QUEST_LV_0100_20150317_001535	마침 잘됐군. 좀 도와주시오.{nl}피난 온 사람들을 위한 구호품을 몬스터들이 몽땅 훔쳐 달아나버렸지 뭐요.{nl}
QUEST_LV_0100_20150317_001536	다행히 빨리 발견해서 망정이지.
QUEST_LV_0100_20150317_001537	난 좀 더 여기 남아 사람들을 도울 테요. {nl}나보다 도움이 필요한 사람이 많을 테니 어서 가보시오.
QUEST_LV_0100_20150317_001538	곧 무너질 것만 같아 이렇게 붙잡고 있소.{nl}돌이라도 충분히 있으면 어떻게 해보련만.
QUEST_LV_0100_20150317_001539	여기마저 뚫려 버린다면 거 감당 안 될 거요.{nl}지금도 피난 가고 난린데 그땐 무슨 수로 막겠소?
QUEST_LV_0100_20150317_001540	좋아. 그 정도면 충분할 거요.
QUEST_LV_0100_20150317_001541	다시 마을로 돌아가야겠소.{nl}하지만 보다시피 팔이 후들거려서 큰일이군.{nl}잠시 이렇게 기대어 있을 동안 몬스터를 처치해 줄 수 있겠소?
QUEST_LV_0100_20150317_001542	여신도 참 매정하시지.{nl}여신께서 사라지지만 않으셨다면 몬스터가 쳐들어올 일은 절대 없었을 거요.
QUEST_LV_0100_20150317_001543	이제 안심하고 마을로 돌아갈 수 있겠소. {nl}이 은혜는 잊지 않으리다.
QUEST_LV_0100_20150317_001544	몬스터를 피해 이곳으로 왔지만 여기도 점점 위험해지고 있어요.{nl}다시 마을로 돌아가려고 하니 다른 피난민분들을 제게 데려와 주시겠어요?
QUEST_LV_0100_20150317_001545	별 탈 없이 오신 것 같네요.{nl}그럼 저도 출발할 채비를 하겠습니다.
QUEST_LV_0100_20150317_001546	어쩌지요? 처음 왔을 때보다 몬스터가 더 많아진 것 같아요.{nl}환자분도 아직 기력을 회복하지 못했고요.{nl}
QUEST_LV_0100_20150317_001547	어떻게든 이 분을 치료할 테니 주변의 몬스터를 없애 주실 수 있을까요?
QUEST_LV_0100_20150317_001548	이 분들이 무사히 마을에 가기 위해서라도..{nl}몬스터들이 좀 정리되어야 할 것 같아요.
QUEST_LV_0100_20150317_001549	고맙습니다. 마침 환자분도 정신을 차리셨어요. {nl}그런데.. 문제가 생긴 것 같아요.
QUEST_LV_0100_20150317_001550	이게 다 구원의 증거인지 뭔지 하는 것 때문이야.{nl}마을 사람들은 그리로 납치된 게 분명해.
QUEST_LV_0100_20150317_001551	이건 필히 여신께서 도우신 게야.{nl}부베 전초기지는 여기서 오른쪽으로 난 길을 따라가게.
QUEST_LV_0100_20150317_001552	구해주셔서 감사합니다.{nl}보아하니 당신도 구원의 증거를 찾으러 왔다는 계시자인 모양이군요.{nl}
QUEST_LV_0100_20150317_001553	저는 늦게 끌려오는 바람에 여기 남게 되었습니다만, 다름 사람들은 전부 광산 안으로 끌려갔습니다.{nl}나머지 이야기는 수정광산 입구에서 천천히 하도록 하죠.
QUEST_LV_0100_20150317_001554	오셨군요.{nl}먼저 광산으로 들어가는 길을 막고 있는 수레부터 치웁시다.{nl}
QUEST_LV_0100_20150317_001555	수레는 제가 준비한 폭약으로 부술 수 있습니다.{nl}하지만 그 소리를 듣고 몰려올 부베가 걱정입니다만, 계시자님의 실력이면 괜찮을 겁니다.
QUEST_LV_0100_20150317_001556	부베 정도는 당신이 알아서 처리하세요.{nl}전 안에서 해 둬야 할 일이 많으니까요.{nl}
QUEST_LV_0100_20150317_001557	고맙네. 아주 고마워.{nl}자네는 우리 마을의 은인이야.{nl}
QUEST_LV_0100_20150317_001558	참, 혹시 5살 정도 되는 여자아이 보지 못했나?{nl}마을사람들이 납치되었을때 같이 있었다는데.
QUEST_LV_0100_20150317_001559	정신 사납게 우물쭈물 있지 말고{nl}도우려면 돕던가, 도망가려면 도망가든가 하시오.
QUEST_LV_0100_20150317_001560	광산 소장
QUEST_LV_0100_20150317_001561	어떻게든 버티고 있지만, 점점 팔에 힘이 풀리는 것 같소.
QUEST_LV_0100_20150317_001562	좀 더 정신을 차렸어야 했는데.{nl}전부 제 불찰입니다.
QUEST_LV_0100_20150317_001563	나도 사냥터에서 잔뼈가 굵은 사람이요.{nl}내 걱정은 말고 다른 사람을 신경 쓰는 게 나을 거요.
QUEST_LV_0100_20150317_001564	마을이 이 꼴이 되어버렸어도 촌장으로써 마을을 버리고 도망갈 순 없네.{nl}여신께서도 참 무심하시지.
QUEST_LV_0100_20150317_001565	자네, 계시자지? 여신께서 도운 게로군.{nl}광산으로 들어가려면 부베 전초기지로 끌려간 바이도타스라는 청년을 먼저 구해야 하네.{nl}내 꼭 부탁함세.
QUEST_LV_0100_20150317_001566	친절한 부엉이 조각상
QUEST_LV_0100_20150317_001567	요즘 방황하는 영혼이 엄청나게 늘어났어요.{nl}이건 정말 
QUEST_LV_0100_20150317_001568	덩치 큰
QUEST_LV_0100_20150317_001569	 문제 때문이지요.{nl}제가 백 번 설명해 드리는 것보단 한 번 보시는 게 더 좋을 거예요.
QUEST_LV_0100_20150317_001570	 문제가 뭐냐고요?{nl}그러니까 음.. 아주 많이 커요.
QUEST_LV_0100_20150317_001571	보셨지요? {nl}그는 세콰이아라고 해요. {nl}한땐 우리 부엉이들을 지켜주는 아주 오랜 친구였지만 지금은...{nl}
QUEST_LV_0100_20150317_001572	사람들이나 우리 부엉이들을 마구잡이로 공격하고 있어요.{nl}그래서 몇몇 부엉이들은 파괴되었고 크게 다치는 사람도 늘고 있지요.
QUEST_LV_0100_20150317_001573	그 
QUEST_LV_0100_20150317_001574	 문제에 대해 잘 알고 있는 부엉이가 있어요.{nl}근데 그게 누구였더라..{nl}
QUEST_LV_0100_20150317_001575	어휴, 정신 사나워서 안 되겠어요.{nl}제가 기억해 내는 동안 엘로구아 좀 없애 주시겠어요?{nl}요 녀석들 포자가 제 머리 틈바구니로 자꾸 들어가는지 기억이 잘 나질 않네요.
QUEST_LV_0100_20150317_001576	저희는 평범한 나무로 만들어졌기 때문에 습기나 벌레가 참 무서워요.{nl}잘 부서지기도 하고요.{nl}무쇠 같은 걸로 만들어졌다면 참 좋으련만!
QUEST_LV_0100_20150317_001577	감사합니다! {nl}나무라 머리를 긁을 수도 없고.. 헤헤..{nl}
QUEST_LV_0100_20150317_001578	음! 맞아, 드디어 생각이 났어요! {nl}불안정한 부엉이를 찾아가 보세요.{nl}그 부엉이는 세콰이아와 참 친하게 지냈으니까 아마 방법을 알 거예요.
QUEST_LV_0100_20150317_001579	불안정한 부엉이 조각상
QUEST_LV_0100_20150317_001580	약속한 대로 알려줄게. 세콰이아 말이야. {nl}
QUEST_LV_0100_20150317_001581	세콰이아는 물들었어. 사악한 힘에 말이야.{nl}사악한 힘에는 성스러운 힘으로. {nl}그래. 맞서야 해!{nl}
QUEST_LV_0100_20150317_001582	부서진 조각상에서 나무 조각을 모아와. {nl}아. 신성한 힘이 깃든 것으로 말이야. 잘 골라와.
QUEST_LV_0100_20150317_001583	친구들이 평범해져 버렸어. {nl}응. 평범한 나무 조각상 말이야. {nl}그래도 신성한 힘은 남아 있을 거야, 분명히. 난 믿어..
QUEST_LV_0100_20150317_001584	응. 좋아. 이거면 됐어! {nl}이걸로 재료는 끝이야. 그래. 그래.
QUEST_LV_0100_20150317_001585	응? 세콰이아? 나 잘 아는데. 입 크고, 엉덩이 크고..{nl}봐봐. 내 친구들 많이 쓰러졌어.{nl}이렇게 한 거. 세콰이아야. 그래 맞아.{nl}
QUEST_LV_0100_20150317_001586	그런데. 몬스터들이 자꾸 가져가려고 하잖아.{nl}그거 뭐였지? 그래. 영혼의 결정.{nl}다시 되찾아 준다면 알려줄게. 영혼의 결정 말이야. 내 친구들 불쌍하잖아!
QUEST_LV_0100_20150317_001587	참 좋은 친구들이었는데. 나빠. 응. 몬스터말이야.{nl}내가 친구들의 몫까지 해낼 거야. {nl}응. 나 조금 정신없어 보이지만..
QUEST_LV_0100_20150317_001588	고마워. 응.{nl}내가 좋은 곳으로 보내 줄 거야. 꼭..
QUEST_LV_0100_20150317_001589	그걸 한데 모아. 잘 엮은 다음에 세콰이아한테 푹! 찔러!{nl}그럼 놀라서 도망갈 거야. 응.
QUEST_LV_0100_20150317_001590	한 번에 해내는 거야. 알았지?
QUEST_LV_0100_20150317_001591	가끔 그리워. 옛날의 세콰이아가.{nl}왜 사악한 힘에 물들었을까? 알 길이 없어. 그냥 슬퍼. 많이.
QUEST_LV_0100_20150317_001592	뭔가 잘못된 거 같아. {nl}길잡이 부엉이가 기분이 안 좋아. 네가 빨리 가 줬으면 좋겠어.{nl}
QUEST_LV_0100_20150317_001593	그 꼬챙이는 네가 가져가. 내 친구들이지만.{nl}앞으로도 너에게 필요할 것 같아. 
QUEST_LV_0100_20150317_001594	괜찮을 거야. 길잡이 부엉이는 강하니까.{nl}괜찮을 거야. 괜찮을 거야..
QUEST_LV_0100_20150317_001595	길잡이 부엉이 조각상
QUEST_LV_0100_20150317_001596	아야야.. 당신이 구해줘서 망정이지, 하마터면 진짜 영원히 잠들 뻔했어요.{nl}세콰이아는 이젠 용납할 수 없는 적입니다. 적!
QUEST_LV_0100_20150317_001597	세콰이아는 비단 우리 부엉이들의 문제만이 아닙니다.{nl}살아있는 건 뭐든 무차별적으로 공격하고 있다고요!{nl}부디 저희에게 힘을 빌려 주세요.{nl}
QUEST_LV_0100_20150317_001598	세콰이아를 그대로 놔둔다면 모든 부엉이들을 다 박살 낼 거예요.{nl}죽는 사람도 많이 생기겠지요...{nl}그렇게 되면 떠도는 영혼은 넘쳐나고 인도할 부엉이는 남지 않겠죠.{nl}
QUEST_LV_0100_20150317_001599	세콰이아는 너무 늦었어요.{nl}인간들을 공격하는 것도 모자라 오랜 친구였던 우리들까지 파괴하려 든다고요!{nl}
QUEST_LV_0100_20150317_001600	우리와 함께 즐겁게 지냈던 기억이 사악한 힘 보다 약했던 걸까요?
QUEST_LV_0100_20150317_001601	무덤지기 부엉이 조각상
QUEST_LV_0100_20150317_001602	구해주셔서 고맙습니다.{nl}이깟 조그만 녀석들한테 농락당하다니. {nl}이 낡아빠진 몸에게도 드디어 땔감이나 다름없는 때가 왔나 봅니다.
QUEST_LV_0100_20150317_001603	흐흐. 길잡이 부엉이가 드디어 결심했나 보군요. {nl}한때는 세콰이아를 다시 원래대로 돌려보고자 가장 열심히 애쓰던 부엉이였습니다만..{nl}
QUEST_LV_0100_20150317_001604	{memo X}어쨌든, 좋습니다. {nl}무명용사의 무덤에서 방황하는 망령이 가지고 있는 영혼의 정수가 필요합니다.{nl}무슨 수를 써도 상관없으니 그들에게 영혼의 정수를 받아 주시지요. 
QUEST_LV_0100_20150317_001605	사실 오랜 기간 방황하는 영혼들은 몬스터나 다름없습죠.
QUEST_LV_0100_20150317_001606	호오, 영혼의 정수를 잘 모아 오셨군요.{nl}길잡이 부엉이에게 돌아가면, 당신이 가진 무기에 영혼의 힘을 실어 줄 것입니다.{nl}그런데 그게 과연 좋은 결과만을 가져올지.. 여신만이 아시겠지요.
QUEST_LV_0100_20150317_001607	이건 개인적인 일입니다만, 이 근처 십자가 언덕에는 분노한 부엉이가 있습니다. {nl}하지만 사고로 깊은 잠에 빠진 뒤, 그만 사악한 힘에 잠식되어 버렸습니다.{nl}분노한 부엉이를 깨워 다시 정신을 차리도록 설득해 주세요.{nl}
QUEST_LV_0100_20150317_001608	그래도 말을 듣지 않는다면.. {nl}차라리 그를 부숴 여신의 품으로 보내 주세요.
QUEST_LV_0100_20150317_001609	그를 다시 원래대로 돌릴 수만 있다면 전 무엇이든 할 겁니다..
QUEST_LV_0100_20150317_001610	이건 그가 가진 영혼을 인도하던 부엉이의 표식..{nl}너무 오랜 시간을 잠든 채 있다 보면, 몬스터의 영향을 받습니다.{nl}이미 많은 동료가 그렇게 변했죠.{nl}
QUEST_LV_0100_20150317_001611	미안해요. 잠시 혼자 있게 해주세요.
QUEST_LV_0100_20150317_001612	영혼의 힘을 빌려 오셨군요.{nl}당신이 가진 꼬챙이에 영혼의 힘을 싣겠습니다.{nl}이렇게 많은 영혼의 힘이 깃든 꼬챙이라면, 세콰이아를 반드시 파괴할 수 있겠죠.
QUEST_LV_0100_20150317_001613	반드시 성공해야 합니다.{nl}세콰이아에게 잡아먹히거나 불타버린 부엉이들을 생각하면 이번만큼은 꼭..
QUEST_LV_0100_20150317_001614	뭐라고요?{nl}세콰이아가 살아서 도망쳤단 말입니까?{nl}
QUEST_LV_0100_20150317_001615	큰일이에요!{nl}그쪽엔 간절한 부엉이가 있는데..
QUEST_LV_0100_20150317_001616	제 실수입니다. 너무 쉽게 봤어요. {nl}이렇게 될 줄은 정말 몰랐다고요. {nl}간절한 부엉이마저 파괴된다면 전..{nl}
QUEST_LV_0100_20150317_001617	부탁이에요. {nl}제발 간절한 부엉이를 도와주세요. {nl}
QUEST_LV_0100_20150317_001618	간절한 부엉이 조각상
QUEST_LV_0100_20150317_001619	아아, 너무 무서웠어요.{nl}구해주셔서 정말 감사합니다.{nl}하지만 세콰이어가 평소보다도 더 날뛰고 있는 거 같아 안심이 안 돼요..{nl}
QUEST_LV_0100_20150317_001620	아무튼, 세콰이아는 절박한 부엉이가 있는 쪽으로 간 거 같아요.{nl}부디 아무 일 없으면 좋으련만..
QUEST_LV_0100_20150317_001621	세콰이아가 화가 나 마구 날뛰는 걸 봤어.{nl}저런 세콰이아는 처음 봐. 우린 아마 다 부서져 버릴 거야!{nl}그러니 제발 우리에게 힘을 빌려줘!{nl}
QUEST_LV_0100_20150317_001622	할 수 있는 건 뭐든 시도해 봐야겠어.{nl}세콰이아가 불로 지져버린 그을린 나뭇가지가 필요해.{nl}그걸 엮어서 더 강력한 꼬챙이를 만들 거야. 
QUEST_LV_0100_20150317_001623	세콰이아는 내 친구를 부숴버렸고, 이 숲을 불태웠고, 그리고 또..{nl}
QUEST_LV_0100_20150317_001624	우린 기본적으로 선한 마음을 가지고 있지만..{nl}난 깊이 잠들어 버리는 순간까지 세콰이아를 저주할 거야.
QUEST_LV_0100_20150317_001625	이 정도면 충분해.{nl}내 울분도 이 꼬챙이에 깃든다면 정말 더할 나위 없겠지.
QUEST_LV_0100_20150317_001626	네가 가지고 온 그을린 나뭇가지로 저주가 담긴 꼬챙이를 만들었어.{nl}세콰이아는 아직 이 근처에 있을 거야. {nl}이걸로 세콰이아를 있는 힘껏 찔러줘.
QUEST_LV_0100_20150317_001627	세콰이아는 우리를 집어삼켜서 더 많은 영혼의 힘을 흡수할 거야.{nl}한 땐, 우리들을 지켜주는 친구였지만.. {nl}나도, 세콰이아도 이젠 다 잊어버렸어.
QUEST_LV_0100_20150317_001628	숲이 불타오르는 게 아주 그냥 볼만하네요.{nl}괜찮아요. 이젠 놀랍지도 않아요. {nl}세콰이아가 사악한 힘에 물들던 날은 이보다 더했으면 더했지 못하진 않았답니다.
QUEST_LV_0100_20150317_001629	부엉이들이 실패했다고 기죽지 않았으면 좋겠는데.{nl}세콰이아를 물리친 건 아니지만 그렇다고 해서 꼬챙이가 실패한 건 아니니까요.{nl}특히 마지막의 두 발은 정말 치명적이었을 거예요..{nl}
QUEST_LV_0100_20150317_001630	그렇지만, 저 세콰이아를 그냥 놔뒀다간 숲 전체를 불바다로 만들겠죠.{nl}우리 부엉이들을 삼켜서 회복하려 할 거고요. {nl}이제 세콰이아의 숨통을 끊어 주세요. 당신의 손으로요.
QUEST_LV_0100_20150317_001631	세콰이아의 고통에 찬 비명소리가 저의 몸통 속까지 울려대는군요.{nl}지금의 세콰이아를 처치하는 건 어렵진 않을 겁니다.{nl}하지만 더 이상 지체할 시간도 없지요.
QUEST_LV_0100_20150317_001632	세콰이아를 쓰러뜨리고 오셨군요.{nl}한땐 우리의 수호자였지만, 정말 비참한 최후입니다.{nl}우리가 세콰이아를 생각하는 심정, 아마도 모르시겠죠.
QUEST_LV_0100_20150317_001633	간혹 바로 작동되지 않는 정화 장치도 있습니다.{nl}그럴 때를 대비해 설명서를 넣어 놨으니 그대로 따라 하세요.
QUEST_LV_0100_20150317_001634	클라페다의 남쪽에는 상점가가 있습니다.{nl}필요하신 것이 있다면 들러 보십시오.
QUEST_LV_0100_20150317_001635	아주 그냥 멀리 도망가 버렸으면 좋겠다. {nl}아니, 실은 잘 모르겠어. 정말 좋은 친구였는데..
QUEST_LV_0100_20150317_001636	좋아요.{nl}무명용사의 무덤에서 무덤지기 부엉이를 찾아 주세요.{nl}그가 영혼의 힘을 빌려 준다면, 이번에야말로 세콰이아를 처치할 수 있을 거예요.
QUEST_LV_0100_20150317_001637	신도 아델레
QUEST_LV_0100_20150317_001638	가시덩굴도 식물이니 강한 산에 약하지 않겠어요?{nl}어때요. 괜찮은 생각이죠?
QUEST_LV_0100_20150317_001639	플리보요?{nl}식량 훔쳐가는 것 정도는 애교죠.{nl}
QUEST_LV_0100_20150317_001640	자재나 병기의 나무 부품만 보면 다 갉아버리질 않나, 부상병들 쓸 약을 다 깨버리질 않나.{nl}텐트란 텐트는 모조리 구멍을 내버리고. {nl}게다가 겁도 없어요. 사람만 보면 떼로 덤벼든다고요.
QUEST_LV_0100_20150317_001641	하! 징그러운 놈들. 속이 다 시원합니다!{nl}이제 천막이랑 자재는 왔고. 조금 있으면 장비랑 식량도 곧 오겠고.. {nl}그럼 수레가.. 수레? 수레?!!{nl}
QUEST_LV_0100_20150317_001642	아차, 수레를 깜빡 잊고 있었다!{nl}죄송하지만, 파켈라스님께 수레를 요청해 주실 수 있을까요?{nl}제가 직접 갈 수도 있지만, 덤벙댄다고 또 혼날 게 뻔해서.. 하하..
QUEST_LV_0100_20150317_001643	부관 파켈라스
QUEST_LV_0100_20150317_001644	엇, 당신은 그 유명한.. 오.. 반갑습니다.{nl}여기까지 무슨 일이시죠?{nl}
QUEST_LV_0100_20150317_001645	아, 수레가.. 이런. 분명히 몰트 이놈이 또 깜빡 잊었군..{nl}수레야 여유분이 있긴 합니다만, 대부분 수리를 기다리는 것이라서 확인 작업이 필요합니다.
QUEST_LV_0100_20150317_001646	어떤 상태인지 확인만 해 주시면 됩니다.{nl}원래는 병사들이 해야 하는데, 귀한 손님께 이런 실례를.. {nl}브란은 제가 따로 혼쭐내겠습니다.
QUEST_LV_0100_20150317_001647	네?{nl}제대로 된 수레가 그게 다입니까?
QUEST_LV_0100_20150317_001648	이거 참, 재료랑 장비가 와야 정비를 하는데.. {nl}일단 급한 대로 하밍의 줄기라도 뽑아 와서 보강해야겠습니다.{nl}어휴.. 벌써 두통이..
QUEST_LV_0100_20150317_001649	몰트 놈을 어떻게 족쳐야 잘 족쳤다고 소문이 날까요?
QUEST_LV_0100_20150317_001650	이 정도면 충분합니다!{nl}참.. 여러 가지로 정말 면목이 없습니다.
QUEST_LV_0100_20150317_001651	그럼, 좀 도와주시겠어요?{nl}먼저 라주마 굽잇길 근처에서 벨리글러를 사냥해서 발톱을 모아주세요.
QUEST_LV_0100_20150317_001652	{memo X}우리 계시자님은 어쩜 이리도 친절하실까요.{nl}그렇죠? 
QUEST_LV_0100_20150317_001653	아얏, 스치기만 했는데도 정말 쓰라리네요.{nl}수고하셨어요.
QUEST_LV_0100_20150317_001654	{memo X}아지두 갈림길에 있는 트리펠리의 독버섯만 있으면 완성이예요.{nl}이번에도 부탁드릴게요.
QUEST_LV_0100_20150317_001655	트리펠리에게 버섯이 어디있냐고요?{nl}뿔을 자세히 보세요. 사실 그게 버섯이랍니다.
QUEST_LV_0100_20150317_001656	머리에 버섯을 키우다니 참 신기하죠?
QUEST_LV_0100_20150317_001657	이제 마무리네요.{nl}아지두 갈림길에 있는 조화의 제단에서 모은 재료들을 조합해 주세요.
QUEST_LV_0100_20150317_001658	예전에는 사울레 여신께 올릴 성수나 성물 같은 것을 정화하는 제단이였어요.{nl}과거야 어쨌든, 지금은 그에 맞게 사용해 주는 것이 맞지 않겠어요?
QUEST_LV_0100_20150317_001659	조화의 제단을 보신 소감이 어떠세요?{nl}저는 왠지 옛날 생각이 나서 아련하더라고요.{nl}
QUEST_LV_0100_20150317_001660	어쨌든, 이제 이걸 섞으면 산성 용액 완성!
QUEST_LV_0100_20150317_001661	이제 이 산성 용액으로 가시 덩굴을 녹여 주세요.{nl}아지두 갈래길 위쪽에 있어요.{nl}
QUEST_LV_0100_20150317_001662	가시 숲이 예전 모습을 되찾았으면 좋겠네요.{nl}지금은 새들도 찾아오지 않거든요.
QUEST_LV_0100_20150317_001663	이 가시숲도 예전엔 정말 아름다운 숲이였어요.{nl}저희 신도들은 이 숲에서 신성한 의식을 치루기도 했지요.{nl}
QUEST_LV_0100_20150317_001664	마군주 브람블이 자리잡은 뒤엔 결국 이렇게 되어버렸죠.{nl}새들의 노랫소리를 들은지가 대체 언젠지. 예전의 아름답던 숲이 그립네요.
QUEST_LV_0100_20150317_001665	가끔 예전의 숲이 너무 그리워요.{nl}사울레 여신의 말씀을 듣던 그 때가 아련하네요.
QUEST_LV_0100_20150317_001666	신도 비르기스
QUEST_LV_0100_20150317_001667	신앙심으로 해내지 못할 일은 없지요.{nl}해내지 못할 일이 있다면 그건 다 신앙이 부족해서 그런 겁니다.
QUEST_LV_0100_20150317_001668	신도 노유스
QUEST_LV_0100_20150317_001669	{memo X}계시자님, 부디 조심하세요.{nl}아까의 불길한 목소리와 비슷한 기운이 가시숲 전체를 울리고 있는 것 같아요.{nl}특히 낙우림쪽에서요.. 전 이런 쪽으로 귀가 밝거든요..
QUEST_LV_0100_20150317_001670	보급담당관
QUEST_LV_0100_20150317_001671	전 이곳의 보급 물자를 책임지고 있는 보급담당관입니다.{nl}이것저것 보급에 필요한 명단을 받긴 했는데 이 명단 길이를 봐요.{nl}이게 어떻게 저 혼자 할 수 있는 양이랍니까?{nl}
QUEST_LV_0100_20150317_001672	이러다 늦으면 셀리나님께 된통 혼날 텐데...{nl}사람 하나 살리는 셈 치고 제 일 좀 거들어 주시겠습니까?{nl}질경이라는 풀이 필요한데 그냥 툭툭 뜯어 오시면 됩니다.
QUEST_LV_0100_20150317_001673	높으신 분들은 지원에 대해 까맣게 잊어버린 것이 분명합니다.{nl}아니면 뭐 병사들은 이슬만 받아먹고 살아도 되는 줄 아나 보죠?
QUEST_LV_0100_20150317_001674	오, 빠르기도 하셔라.{nl}하지만 아직 끝난 건 아닙니다.{nl}질경이로 끝날 거였으면 제가 벌써 다 했죠.
QUEST_LV_0100_20150317_001675	먹고 힘내서 싸우려면 역시 고기죠, 고기.{nl}사과를 먹여서 키운 소라면 더없이 좋겠지만, 이 전장에 소 같은 것이 있겠습니까?{nl}육질이 비슷한 티니라도 잡아 보죠.
QUEST_LV_0100_20150317_001676	충당해야 할 물품 목록이 길기만 하다면 저도 이렇게까지 뭉그적거리지 않아도 될 겁니다.{nl}예전에는 부베들이 가끔 보급품 약탈도 했거든요. {nl}지금은 지그리가 그 난리니 그걸 어떻게 다시 찾아오라고 어휴..
QUEST_LV_0100_20150317_001677	이 정도면 충분합니다. 수고하셨습니다.{nl}고기는 언제 봐도 기분이 좋죠?
QUEST_LV_0100_20150317_001678	자.. 필요한 건 다 모았고.. 다시 명단 좀 검수해 보고 셀리나님께 전해드려야겠습니다.{nl}잠시만요..{nl}
QUEST_LV_0100_20150317_001679	아오.. 이 부베보다 더한 놈들, 진짜!! 포션병이 몽땅 사라졌습니다.. {nl}지그리놈들은 간혹 자기들 눈에 신기한 것도 훔쳐가거든요. {nl}
QUEST_LV_0100_20150317_001680	강도보다 더한 놈들입니다.{nl}조금이라도 괜찮아 보이면 냉큼 가져가 버리지요.
